t [s],u [deg],y [deg],i [A],r (deg)
0,-0.000506,0.004272,0.010986,0
0.00005,-0.001364,0.008545,0.00061,0
0.0001,-0.001413,-0.002441,0.005035,0
0.00015,-0.000402,0.007324,-0.002289,0
0.0002,0.000165,0.016479,-0.018158,0
0.00025,-0.000086,-0.003052,0.00061,0
0.0003,-0.000443,0.009155,0.002289,0
0.00035,-0.001012,0.002441,0.002441,0
0.0004,-0.00107,-0.004883,0.000763,0
0.00045,-0.000244,-0.001221,-0.03006,0
0.0005,0.000343,0.008545,-0.027313,0
0.00055,-0.000203,-0.004883,-0.026093,0
0.0006,-0.001028,0,-0.00473,0
0.00065,-0.000839,-0.00061,-0.01236,0
0.0007,-0.000231,-0.014648,-0.019379,0
0.00075,-0.000383,0.006714,-0.012054,0
0.0008,-0.001037,-0.002441,-0.018311,0
0.00085,-0.001225,-0.00061,-0.036926,0
0.0009,-0.00134,0.007935,-0.018158,0
0.00095,-0.001317,0.007324,-0.019989,0
0.001,-0.000462,-0.006104,-0.020905,0
0.00105,0.0006,0.001221,-0.0177,0
0.0011,0.001051,-0.006104,-0.02655,0
0.00115,0.001373,-0.003662,-0.021362,0
0.0012,0.002171,0.002441,-0.002289,0
0.00125,0.002131,-0.00061,0.002594,0
0.0013,0.001142,0.001221,-0.021667,0
0.00135,0.000168,0.001221,-0.005035,0
0.0014,-0.001443,0.012207,-0.018768,0
0.00145,-0.00268,0.007324,-0.025635,0
0.0015,-0.002024,0.002441,-0.004425,0
0.00155,-0.000801,-0.005493,-0.028687,0
0.0016,-0.000027,0.010986,-0.008087,0
0.00165,0.00091,-0.009155,0.007935,0
0.0017,0.001902,0.015869,-0.003357,0
0.00175,0.002286,-0.001221,-0.004272,0
0.0018,0.001791,0.004272,-0.027466,0
0.00185,0.000814,0.012817,-0.03891,0
0.0019,-0.000043,0.001831,-0.007935,0
0.00195,-0.00066,-0.004272,-0.01358,0
0.002,-0.000715,0.002441,-0.003204,0
0.00205,-0.000391,0.002441,-0.005951,0
0.0021,-0.000246,-0.004883,0.010223,0
