t [s],u [deg],y [deg],i [A]
0.000000,0.000725,0.002441,-0.043640
0.000050,0.000324,-0.006104,0.019073
0.000100,-0.000193,-0.006104,-0.008545
0.000150,-0.000490,-0.000610,-0.033264
0.000200,0.000256,0.004883,-0.024109
0.000250,0.001440,0.007324,0.014038
0.000300,0.001026,0.020142,-0.008087
0.000350,-0.000557,0.001221,0.019379
0.000400,-0.001120,0.018921,-0.024719
0.000450,-0.000914,0.007935,-0.005035
0.000500,-0.001210,0.013428,-0.006866
0.000550,-0.001350,0.014038,-0.003967
0.000600,-0.001166,0.015259,0.012054
0.000650,-0.000990,0.000000,-0.001678
0.000700,-0.000813,-0.004883,-0.028381
0.000750,-0.000914,0.004883,-0.008240
0.000800,-0.001289,0.009155,-0.008698
0.000850,-0.001246,0.000610,-0.018921
0.000900,-0.000660,0.004883,-0.019836
0.000950,-0.000014,0.006714,-0.019684
0.001000,0.000375,-0.015259,0.008545
0.001050,0.000383,0.002441,-0.013275
0.001100,0.000805,0.007324,-0.008850
0.001150,0.001626,0.000610,-0.019073
0.001200,0.001476,0.009155,-0.009308
0.001250,0.000430,0.000610,-0.014038
0.001300,-0.000718,0.002441,-0.001526
0.001350,-0.001641,0.004883,0.003662
0.001400,-0.002032,0.006104,-0.017395
0.001450,-0.002231,0.009155,-0.034180
0.001500,-0.002313,0.002441,-0.002289
0.001550,-0.002082,0.003662,-0.008240
0.001600,-0.001028,-0.003662,-0.016632
0.001650,0.000614,0.007935,0.002136
0.001700,0.001492,-0.007324,-0.010529
0.001750,0.001231,0.011597,-0.018005
0.001800,0.000751,-0.004272,-0.010071
0.001850,0.000450,0.004883,-0.005188
0.001900,-0.000000,-0.009155,-0.022736
0.001950,-0.000276,0.008545,-0.020752
0.002000,-0.000255,0.002441,0.005951
0.002050,0.000257,-0.010376,-0.013580
0.002100,0.000871,-0.001221,-0.016937
0.002150,0.000441,0.007324,-0.021667
0.002200,-0.000617,0.018921,-0.019684
0.002250,-0.000830,0.013428,-0.016174
0.002300,-0.000680,0.021362,-0.012512
0.002350,-0.000801,0.010376,-0.006104
0.002400,-0.000361,0.000000,-0.006561
0.002450,0.000366,0.009766,-0.019989
0.002500,0.000273,0.007935,-0.007629
0.002550,-0.000060,0.014648,-0.005951
0.002600,0.000103,0.004272,-0.012970
0.002650,0.000379,-0.005493,-0.018616
0.002700,0.000447,0.001221,-0.003815
0.002750,0.000065,-0.009155,-0.018005
0.002800,-0.000271,-0.001221,-0.010529
0.002850,-0.000557,0.003662,-0.031281
0.002900,-0.000944,0.013428,-0.012665
0.002950,-0.000903,0.004883,-0.009613
0.003000,-0.000316,-0.000610,-0.013123
0.003050,0.000619,0.010376,0.009003
0.003100,0.001365,0.003662,0.004730
0.003150,0.000965,0.005493,-0.017853
0.003200,-0.000021,-0.003052,-0.018463
0.003250,-0.000190,-0.003052,-0.021973
0.003300,-0.000131,0.001221,-0.024261
0.003350,-0.000209,-0.003052,-0.012207
0.003400,0.000430,0.006104,-0.016937
0.003450,0.001104,-0.004883,0.000458
0.003500,0.000783,0.007324,0.006714
0.003550,0.000061,-0.000610,-0.021057
0.003600,-0.000394,0.000000,-0.014038
0.003650,-0.000849,-0.009155,-0.002594
0.003700,-0.001100,0.004883,-0.032806
0.003750,-0.000659,0.011597,-0.020905
0.003800,-0.000060,0.009766,-0.005646
0.003850,0.000017,0.005493,-0.013123
0.003900,0.000312,0.000000,-0.008240
0.003950,0.001052,0.007324,-0.003052
0.004000,0.001212,0.003662,-0.021973
0.004050,0.001076,0.000000,-0.021973
0.004100,0.000830,0.005493,-0.009613
0.004150,-0.000108,0.004883,-0.029449
0.004200,-0.001052,0.009766,-0.023499
0.004250,-0.000913,0.007935,-0.032196
0.004300,-0.000430,0.000000,-0.019684
0.004350,-0.000802,-0.001831,-0.012360
0.004400,-0.000958,0.003662,-0.003357
0.004450,-0.000314,0.007935,-0.021057
0.004500,0.000049,-0.000610,-0.009766
0.004550,-0.000405,-0.003662,-0.001068
0.004600,-0.000882,-0.003052,0.005798
0.004650,-0.000533,-0.010376,0.003815
0.004700,-0.000697,0.013428,-0.014343
0.004750,-0.000552,-0.004272,0.000153
0.004800,0.001102,0.004883,-0.008545
0.004850,0.001787,0.002441,-0.018311
0.004900,0.001377,0.003052,0.007935
0.004950,0.001547,0.000000,-0.016022
0.005000,0.001514,0.000610,-0.032043
0.005050,0.000935,-0.003052,-0.014801
0.005100,0.000681,0.007324,-0.011139
0.005150,0.000649,0.012817,-0.005188
0.005200,0.000646,0.000000,-0.000458
0.005250,0.000895,0.006714,0.010071
0.005300,0.000806,0.008545,0.001678
0.005350,0.000329,0.010986,-0.014648
0.005400,-0.000181,0.001221,-0.019379
0.005450,-0.000799,0.001221,-0.017700
0.005500,-0.000932,-0.002441,-0.012970
0.005550,-0.001123,0.006104,-0.019226
0.005600,-0.002580,-0.001831,-0.016785
0.005650,-0.005412,0.007935,-0.010223
0.005700,-0.008825,-0.004883,-0.012512
0.005750,-0.013274,0.003052,-0.025177
0.005800,-0.019892,0.003052,-0.009918
0.005850,-0.027748,-0.003662,-0.030060
0.005900,-0.036254,-0.009766,-0.016479
0.005950,-0.044702,-0.012817,-0.027618
0.006000,-0.051681,-0.005493,-0.029144
0.006050,-0.056974,-0.012207,-0.045929
0.006100,-0.060174,-0.026855,-0.000763
0.006150,-0.059419,-0.034790,0.003052
0.006200,-0.052538,-0.036621,0.012665
0.006250,-0.037958,-0.054321,0.032806
0.006300,-0.014530,-0.042114,0.042877
0.006350,0.018932,-0.054321,0.083008
0.006400,0.063546,-0.048828,0.109711
0.006450,0.119422,-0.044556,0.102692
0.006500,0.186984,-0.015869,0.136871
0.006550,0.265986,-0.000610,0.185394
0.006600,0.354064,0.037231,0.144653
0.006650,0.448322,0.087280,0.181732
0.006700,0.545754,0.148926,0.149231
0.006750,0.641912,0.211792,0.163879
0.006800,0.731998,0.278320,0.129395
0.006850,0.813339,0.349121,0.098267
0.006900,0.882747,0.453491,0.046539
0.006950,0.935613,0.555420,-0.030060
0.007000,0.969228,0.647583,-0.097656
0.007050,0.982334,0.715332,-0.162048
0.007100,0.974709,0.805664,-0.234680
0.007150,0.947316,0.877075,-0.315552
0.007200,0.900151,0.892334,-0.321198
0.007250,0.834767,0.924683,-0.303192
0.007300,0.756330,0.939331,-0.302734
0.007350,0.668852,0.933838,-0.303650
0.007400,0.574825,0.906982,-0.293121
0.007450,0.478703,0.848389,-0.238342
0.007500,0.384734,0.805664,-0.169830
0.007550,0.295771,0.709839,-0.139618
0.007600,0.214673,0.639038,-0.067902
0.007650,0.143659,0.549927,-0.027924
0.007700,0.083268,0.446167,0.048828
0.007750,0.033416,0.367432,0.076447
0.007800,-0.004914,0.264893,0.095215
0.007850,-0.032443,0.202026,0.167236
0.007900,-0.051409,0.145874,0.156708
0.007950,-0.062053,0.074463,0.156250
0.008000,-0.065158,0.035400,0.161285
0.008050,-0.063163,-0.009155,0.129700
0.008100,-0.057861,-0.009766,0.095673
0.008150,-0.050827,-0.031738,0.089417
0.008200,-0.043229,-0.039062,0.031281
0.008250,-0.035301,-0.047607,0.063934
0.008300,-0.027827,-0.041504,0.048981
0.008350,-0.021085,-0.053711,0.013580
0.008400,-0.014507,-0.050049,-0.008698
0.008450,-0.008977,-0.017090,-0.027161
0.008500,-0.004785,-0.027466,-0.018158
0.008550,-0.002263,-0.027466,-0.030823
0.008600,-0.001632,-0.020142,-0.000458
0.008650,-0.000939,0.006104,-0.054169
0.008700,-0.000255,-0.003662,-0.036011
0.008750,-0.000791,-0.006714,-0.011139
0.008800,-0.001509,0.005493,-0.037537
0.008850,-0.001443,-0.007324,-0.023041
0.008900,-0.001260,0.006104,-0.019073
0.008950,-0.001140,0.006714,-0.034485
0.009000,-0.000904,0.004883,-0.004730
0.009050,-0.000651,-0.006104,-0.002289
0.009100,-0.000358,0.006714,-0.007172
0.009150,-0.000431,0.013428,-0.003510
0.009200,-0.000700,0.007324,-0.013123
0.009250,-0.001092,0.004272,-0.007477
0.009300,-0.001778,-0.003662,-0.022125
0.009350,-0.002373,0.011597,0.001526
0.009400,-0.003337,-0.002441,-0.017700
0.009450,-0.004043,-0.003052,-0.020142
0.009500,-0.003462,0.010376,-0.027618
0.009550,-0.002524,0.007935,-0.006561
0.009600,-0.001660,0.000610,-0.025024
0.009650,-0.001330,0.004272,0.002594
0.009700,-0.002194,-0.002441,-0.006866
0.009750,-0.003415,-0.004272,-0.027161
0.009800,-0.003350,0.002441,-0.030670
0.009850,-0.002138,0.006104,-0.018005
0.009900,-0.001803,0.007935,-0.018921
0.009950,-0.002350,0.009155,-0.007782
0.010000,-0.002352,0.005493,-0.031128
0.010050,-0.001824,0.007935,-0.025940
0.010100,-0.001372,0.007324,-0.026550
0.010150,-0.001058,0.009766,-0.015564
0.010200,-0.000939,0.006714,-0.000305
0.010250,-0.000899,-0.004272,0.016632
0.010300,-0.000802,-0.000610,-0.001831
0.010350,-0.001335,0.001221,-0.037384
0.010400,-0.002011,0.012817,-0.006714
0.010450,-0.001755,0.006714,-0.008392
0.010500,-0.001321,0.008545,-0.003815
0.010550,-0.001147,-0.012817,0.000153
0.010600,-0.001240,0.011597,-0.020142
0.010650,-0.001765,0.007935,-0.019226
0.010700,-0.001941,-0.011597,-0.008392
0.010750,-0.001270,0.007935,-0.007172
0.010800,-0.000452,0.006714,-0.020294
0.010850,0.000058,-0.006104,0.001221
0.010900,0.000753,0.007324,-0.012970
0.010950,0.001195,0.004272,-0.011444
0.011000,0.001208,0.000000,-0.018616
0.011050,0.001149,-0.002441,0.000000
0.011100,0.000460,-0.003052,-0.011902
0.011150,-0.000618,0.001831,-0.025024
0.011200,-0.000908,0.009766,-0.008087
0.011250,-0.000278,0.005493,-0.026398
0.011300,0.000483,0.001221,-0.028076
0.011350,0.000951,0.010376,0.003357
0.011400,0.000654,-0.007324,-0.010986
0.011450,-0.000178,-0.001221,0.000610
0.011500,-0.000638,-0.005493,-0.021667
0.011550,-0.001035,0.007324,-0.034790
0.011600,-0.001633,0.001221,-0.007629
0.011650,-0.001739,-0.007324,-0.007782
0.011700,-0.001689,-0.006104,-0.023804
0.011750,-0.001487,0.003662,-0.029297
0.011800,-0.000128,0.010376,-0.021515
0.011850,0.000896,0.012207,-0.025330
0.011900,0.000022,-0.004883,-0.027771
0.011950,-0.001217,0.006104,-0.025940
0.012000,-0.001406,-0.007935,-0.033722
0.012050,-0.001100,0.000000,-0.045013
0.012100,-0.001053,0.000000,-0.024414
0.012150,-0.001355,0.014648,-0.007324
0.012200,-0.001994,0.010986,-0.003662
0.012250,-0.002065,-0.001831,-0.021515
0.012300,-0.001892,0.006714,-0.019989
0.012350,-0.002406,0.001831,-0.003510
0.012400,-0.002272,0.008545,-0.023346
0.012450,-0.001463,0.004883,-0.009613
0.012500,-0.001404,-0.004272,0.007477
0.012550,-0.001780,-0.003052,-0.016785
0.012600,-0.001590,0.004272,-0.009918
0.012650,-0.000515,-0.001831,-0.006714
0.012700,0.001092,0.000610,-0.000763
0.012750,0.001638,0.001831,-0.018616
0.012800,0.000839,0.003052,-0.004578
0.012850,0.000722,0.010986,-0.005035
0.012900,0.001017,0.003052,-0.012207
0.012950,0.000368,0.008545,-0.018311
0.013000,-0.000149,0.002441,-0.009613
0.013050,-0.000509,-0.007935,-0.003052
0.013100,-0.001530,0.003052,-0.036316
0.013150,-0.001800,-0.008545,-0.009155
0.013200,-0.001429,0.007324,0.001678
0.013250,-0.001600,0.011597,-0.023041
0.013300,-0.001288,0.004883,-0.009918
0.013350,-0.000350,-0.010376,-0.011597
0.013400,0.000977,-0.012207,0.007935
0.013450,0.002131,-0.010376,-0.005493
0.013500,0.001748,0.009155,0.007935
0.013550,0.001509,0.007324,-0.001068
0.013600,0.001945,-0.007324,-0.025482
0.013650,0.001098,-0.004883,-0.035706
0.013700,-0.000361,-0.002441,-0.034637
0.013750,-0.000995,0.001221,-0.026550
0.013800,-0.000731,-0.002441,-0.048065
0.013850,-0.000275,-0.006104,-0.025330
0.013900,-0.000434,-0.007935,-0.033569
0.013950,-0.000673,-0.003052,-0.024261
0.014000,-0.000421,0.001831,-0.028076
0.014050,-0.000237,0.009155,-0.032654
0.014100,-0.000377,0.005493,-0.009613
0.014150,-0.000061,0.003662,-0.010376
0.014200,0.000929,-0.006104,-0.011902
0.014250,0.001578,0.003052,-0.010834
0.014300,0.002021,-0.000610,-0.006256
0.014350,0.002938,-0.001221,-0.006104
0.014400,0.004622,0.006104,-0.025482
0.014450,0.005952,0.002441,-0.023041
0.014500,0.005398,0.001221,-0.022888
0.014550,0.004391,0.003052,0.007782
0.014600,0.003158,0.022583,-0.032959
