t [s],u [deg],y [deg],i [A]
0.000000,-0.000526,-0.001831,0.012360
0.000050,-0.000138,-0.004883,-0.010834
0.000100,0.000116,-0.003052,-0.002594
0.000150,0.000108,-0.001221,0.001678
0.000200,0.000673,-0.001221,-0.032196
0.000250,0.001698,-0.000610,-0.009613
0.000300,0.002458,0.020142,-0.021515
0.000350,0.002572,-0.003052,-0.012665
0.000400,0.001794,-0.005493,0.012054
0.000450,0.000731,-0.006714,-0.020447
0.000500,-0.000270,-0.001221,-0.007019
0.000550,-0.000953,-0.016479,0.001373
0.000600,-0.000775,0.000000,-0.042267
0.000650,0.000018,0.010376,-0.025940
0.000700,0.000610,0.000000,-0.002289
0.000750,0.000202,0.010376,-0.010223
0.000800,-0.000311,0.004272,0.005035
0.000850,-0.000433,0.010986,0.007324
0.000900,-0.000372,0.006714,-0.010986
0.000950,-0.000426,0.009155,0.004883
0.001000,-0.000528,-0.002441,0.006866
0.001050,0.000236,-0.009155,0.025635
0.001100,0.000938,-0.003052,-0.006714
0.001150,0.000871,-0.007324,0.016632
0.001200,0.000541,0.005493,-0.034180
0.001250,-0.000037,0.011597,-0.032349
0.001300,-0.000729,-0.012207,-0.018616
0.001350,-0.000916,-0.004883,-0.035858
0.001400,-0.000308,0.003052,-0.014801
0.001450,0.000275,0.004272,-0.030823
0.001500,0.000498,-0.014648,-0.001984
0.001550,0.000760,-0.004272,-0.000763
0.001600,0.000658,-0.014648,-0.023346
0.001650,0.000189,-0.010376,-0.030670
0.001700,0.000213,0.007935,-0.016785
0.001750,0.000513,0.018311,-0.013580
0.001800,0.000166,0.003052,0.006104
0.001850,-0.000623,-0.003662,0.002594
0.001900,-0.000796,0.009766,0.003662
0.001950,-0.000624,0.007324,-0.028687
0.002000,-0.000798,0.002441,-0.025177
0.002050,-0.000852,-0.013428,-0.002594
0.002100,-0.000221,-0.003662,-0.020142
0.002150,0.000242,0.020142,-0.005035
0.002200,-0.000444,-0.007324,-0.029602
0.002250,-0.000570,0.002441,-0.023651
0.002300,0.000228,0.007324,-0.007782
0.002350,0.000583,-0.007935,0.014038
0.002400,0.000742,0.004883,-0.022888
0.002450,0.000374,0.004883,0.007477
0.002500,-0.000477,0.005493,0.001221
0.002550,-0.000711,0.003052,-0.015259
0.002600,-0.000807,0.015259,-0.020294
0.002650,-0.001548,0.004883,-0.012817
0.002700,-0.002256,0.005493,-0.000610
0.002750,-0.002247,0.005493,0.003815
0.002800,-0.001468,0.006714,-0.029907
0.002850,-0.000291,0.004883,-0.011902
0.002900,-0.000169,0.007935,-0.017548
0.002950,-0.001252,0.004883,-0.006409
0.003000,-0.001582,0.004883,-0.015411
0.003050,-0.000948,0.000610,-0.020905
0.003100,-0.000403,-0.003052,-0.006561
0.003150,0.000188,-0.006104,-0.006866
0.003200,0.000833,-0.005493,0.004883
0.003250,0.000667,-0.011597,-0.007935
0.003300,-0.000019,-0.001831,-0.024719
0.003350,-0.000290,-0.012817,-0.015564
0.003400,-0.000963,-0.003052,-0.028534
0.003450,-0.002047,0.003052,-0.002441
0.003500,-0.002044,-0.003662,-0.003052
0.003550,-0.001201,0.005493,-0.013428
0.003600,-0.001252,0.003052,-0.030823
0.003650,-0.002117,0.007324,-0.012817
0.003700,-0.002149,0.002441,0.001373
0.003750,-0.001922,-0.002441,-0.021820
0.003800,-0.002165,0.004883,-0.022125
0.003850,-0.002157,-0.009155,-0.017548
0.003900,-0.001457,0.004272,-0.009308
0.003950,-0.000629,0.000000,-0.021515
0.004000,-0.000453,0.000610,0.008240
0.004050,0.000106,-0.000610,-0.014496
0.004100,0.000996,-0.006104,0.006714
0.004150,0.000589,0.004272,0.000610
0.004200,-0.000198,0.001831,-0.009766
0.004250,-0.000310,0.014648,-0.003815
0.004300,-0.001475,0.010376,-0.019073
0.004350,-0.003676,0.017090,-0.034180
0.004400,-0.004276,0.010986,-0.020447
0.004450,-0.003038,-0.003662,-0.009766
0.004500,-0.001407,-0.009155,-0.022278
0.004550,0.000056,-0.013428,-0.015869
0.004600,0.000850,0.004272,-0.004425
