t [s],u [deg],y [deg],i [A]
0.000000,-0.001646,-0.008545,-0.010071
0.000050,-0.002138,0.007324,-0.008087
0.000100,-0.001504,0.012207,-0.005188
0.000150,-0.000227,0.001221,-0.016327
0.000200,0.000413,-0.001831,-0.005035
0.000250,0.000232,0.016479,-0.000916
0.000300,0.000295,0.007324,-0.019836
0.000350,0.000579,0.010986,-0.003052
0.000400,0.000486,0.012207,-0.014191
0.000450,0.000223,0.015869,-0.019989
0.000500,0.000212,0.001221,-0.012054
0.000550,0.000570,0.008545,-0.009766
0.000600,0.000794,0.005493,-0.007172
0.000650,0.000727,0.010986,-0.004883
0.000700,0.000694,0.007935,0.008240
0.000750,0.000617,-0.007935,-0.006104
0.000800,0.000541,0.001221,-0.027924
0.000850,0.000429,0.005493,-0.011444
0.000900,-0.000240,0.009155,-0.021210
0.000950,-0.000976,0.017090,-0.013123
0.001000,-0.000875,0.006714,-0.011444
0.001050,-0.000155,-0.002441,-0.007324
0.001100,0.000599,0.009766,-0.027161
0.001150,0.000720,0.001831,-0.006409
0.001200,0.000474,0.010986,-0.016174
0.001250,0.000380,-0.005493,0.021057
0.001300,0.000051,0.011597,0.004730
0.001350,-0.000570,-0.000610,-0.027161
0.001400,-0.000386,0.013428,-0.028076
0.001450,0.000314,-0.002441,0.003662
0.001500,0.000501,0.005493,-0.009918
0.001550,0.000775,0.009766,0.000305
0.001600,0.001209,-0.006714,0.001373
0.001650,0.001241,0.004883,-0.017090
0.001700,0.000855,0.012207,0.000458
0.001750,0.000441,-0.010376,-0.028992
0.001800,-0.000142,0.004272,-0.010681
0.001850,-0.001491,0.000000,-0.023499
0.001900,-0.002446,-0.012207,0.010529
0.001950,-0.002098,-0.000610,-0.016785
0.002000,-0.001717,0.006104,-0.000305
0.002050,-0.001318,-0.001221,0.009308
0.002100,-0.000855,-0.004883,-0.007629
0.002150,-0.000740,0.003662,-0.010529
0.002200,-0.000848,-0.000610,-0.015869
0.002250,-0.001316,0.007324,-0.018005
0.002300,-0.000960,0.005493,-0.018921
0.002350,0.000347,0.009155,-0.033264
0.002400,0.001395,-0.006104,-0.000153
0.002450,0.001941,0.000610,-0.016174
0.002500,0.001801,-0.001221,-0.013733
0.002550,0.001251,0.005493,-0.021210
0.002600,0.000677,0.015869,-0.019379
0.002650,0.000249,-0.014038,-0.003662
0.002700,0.000015,-0.007324,-0.019684
0.002750,-0.000043,0.014038,-0.023956
0.002800,-0.000431,-0.000610,0.005951
0.002850,-0.001476,0.004883,-0.002136
0.002900,-0.001993,0.015259,-0.023346
0.002950,-0.001235,0.016479,-0.011139
0.003000,-0.000015,-0.007324,0.007324
0.003050,0.000354,0.020752,-0.006409
0.003100,0.000379,0.007324,0.007629
