t [s],u [deg],y [deg],i [A]
0.000000,-0.000048,0.006104,-0.029602
0.000050,-0.000642,0.012207,-0.025482
0.000100,-0.000113,0.012207,-0.025482
0.000150,0.001032,0.001831,-0.010071
0.000200,0.001479,0.005493,-0.013885
0.000250,0.001189,-0.001831,-0.016479
0.000300,0.000686,-0.008545,0.002899
0.000350,0.000124,0.014648,0.018005
0.000400,-0.000332,0.003662,-0.027313
0.000450,-0.000388,-0.000610,0.004425
0.000500,-0.000370,0.008545,-0.014648
0.000550,-0.000260,0.009155,0.028076
0.000600,0.000022,-0.006714,0.012665
0.000650,0.000350,0.002441,0.019531
0.000700,0.000610,0.018311,-0.019531
0.000750,0.000929,-0.006714,-0.010986
0.000800,0.001039,0.007935,-0.016479
0.000850,0.000579,0.010376,-0.011597
0.000900,-0.000043,0.009766,0.014343
0.000950,-0.000622,0.004883,-0.008087
0.001000,-0.000719,0.014038,-0.010986
0.001050,0.000187,0.007324,-0.040436
0.001100,0.001094,0.006714,0.007935
0.001150,0.001432,0.000000,-0.012512
0.001200,0.001781,-0.007935,-0.007324
0.001250,0.002034,-0.009155,-0.001526
0.001300,0.001747,0.005493,0.007477
0.001350,0.000931,0.000610,-0.014191
0.001400,0.000652,-0.004272,-0.000610
0.001450,0.000841,0.002441,-0.000763
0.001500,0.000604,0.013428,-0.022278
0.001550,0.000069,0.006104,-0.019226
0.001600,-0.000552,-0.001831,0.004883
0.001650,-0.000614,-0.003662,-0.016937
0.001700,-0.000325,-0.000610,-0.005951
0.001750,-0.000200,0.009766,0.005341
0.001800,0.000067,0.000000,-0.016327
0.001850,0.000143,0.006714,-0.012970
0.001900,0.000127,0.000000,0.000610
0.001950,0.000335,0.006714,0.000458
0.002000,0.000234,0.001831,-0.007019
0.002050,-0.000558,-0.006104,-0.000458
0.002100,-0.001131,-0.005493,-0.016174
0.002150,-0.001056,0.000610,-0.023651
0.002200,-0.000799,0.005493,0.005341
0.002250,-0.000011,-0.002441,-0.002594
0.002300,0.000540,-0.004883,-0.011139
0.002350,-0.000340,0.010376,-0.016785
0.002400,-0.001193,-0.004883,-0.009003
0.002450,-0.000908,0.003052,-0.014191
0.002500,-0.000499,0.012207,0.006409
0.002550,0.000112,0.004272,-0.016632
0.002600,0.000575,-0.014038,-0.000763
0.002650,0.000358,-0.007324,-0.017700
0.002700,0.000540,0.010376,-0.045166
0.002750,0.001232,0.006104,-0.013428
0.002800,0.001197,0.012207,-0.028687
0.002850,0.000405,0.000610,-0.021973
0.002900,-0.000083,0.000000,-0.012970
0.002950,0.000120,-0.000610,-0.018463
0.003000,0.000186,0.002441,-0.018158
0.003050,-0.000534,0.010986,-0.019836
0.003100,-0.001246,0.007935,-0.015717
0.003150,-0.001425,-0.003052,0.000763
0.003200,-0.001158,0.014648,-0.008850
0.003250,-0.000991,0.010986,-0.012207
0.003300,-0.000732,0.001221,-0.009918
0.003350,-0.000160,0.001221,-0.026093
0.003400,0.000238,0.001831,-0.007782
0.003450,0.000514,0.006714,-0.024261
0.003500,0.000745,0.000000,-0.016022
0.003550,0.000539,-0.007935,-0.010986
0.003600,-0.000244,0.007324,-0.006561
0.003650,-0.000734,0.010986,-0.012665
0.003700,-0.000203,-0.004272,-0.018921
0.003750,0.000621,0.012207,-0.021210
0.003800,0.000239,0.007935,-0.019684
0.003850,-0.000205,-0.006714,-0.004425
0.003900,0.000659,-0.003662,-0.008240
0.003950,0.000972,-0.001221,-0.008087
0.004000,0.000056,-0.006104,-0.005035
0.004050,-0.000626,0.007324,-0.001221
0.004100,-0.000647,-0.001831,-0.007935
0.004150,-0.000753,0.005493,-0.019226
0.004200,-0.000977,0.000000,-0.005798
0.004250,-0.000472,-0.009766,-0.002899
0.004300,0.000527,-0.003052,-0.008087
0.004350,0.001017,-0.002441,-0.005493
0.004400,0.001125,-0.012817,-0.009308
0.004450,0.001441,-0.001831,0.012207
0.004500,0.001481,-0.006104,-0.012512
0.004550,0.001058,-0.002441,-0.012817
0.004600,0.000719,0.001221,-0.023956
0.004650,0.000366,-0.001831,-0.018768
0.004700,0.000125,-0.006104,-0.027161
0.004750,0.000326,0.000610,-0.020599
0.004800,0.000971,-0.005493,0.008545
0.004850,0.001676,0.005493,-0.015564
0.004900,0.001128,-0.007935,-0.002899
0.004950,-0.000062,0.002441,-0.012360
0.005000,-0.000506,0.001831,-0.031281
0.005050,-0.000688,-0.000610,0.003204
0.005100,-0.000654,0.001221,-0.001831
0.005150,-0.000717,-0.007935,-0.023041
0.005200,-0.000956,0.001831,-0.008698
0.005250,-0.000698,-0.006714,-0.028534
0.005300,-0.000439,0.008545,-0.040894
0.005350,-0.000385,-0.003052,-0.003662
0.005400,0.000173,-0.007324,0.005646
0.005450,0.000750,0.003662,-0.020142
0.005500,0.000297,0.004883,-0.009460
0.005550,-0.000660,0.010986,-0.004730
0.005600,-0.000913,-0.003662,-0.006256
0.005650,-0.000140,0.008545,-0.002594
0.005700,0.001617,0.008545,-0.003662
0.005750,0.004035,0.003662,-0.010529
0.005800,0.007228,0.006104,-0.015106
0.005850,0.011086,-0.001221,0.028839
0.005900,0.014045,-0.003052,-0.010071
0.005950,0.014500,0.000000,0.015106
0.006000,0.012192,-0.000610,0.018463
0.006050,0.006822,0.007324,-0.005035
0.006100,-0.003357,0.003052,-0.063324
0.006150,-0.019187,0.014038,-0.050201
0.006200,-0.038697,0.007324,-0.065002
0.006250,-0.059238,0.014038,-0.072937
0.006300,-0.078527,-0.004272,-0.073853
0.006350,-0.092681,-0.014038,-0.092010
0.006400,-0.097229,-0.017700,-0.046692
0.006450,-0.087149,-0.036011,0.012970
0.006500,-0.058441,-0.058594,0.064850
0.006550,-0.009112,-0.063477,0.135498
0.006600,0.063219,-0.089111,0.185852
0.006650,0.158273,-0.070801,0.223389
0.006700,0.271910,-0.054932,0.297089
0.006750,0.398790,-0.023193,0.359497
0.006800,0.531046,0.020142,0.361176
0.006850,0.658770,0.111084,0.258484
0.006900,0.773010,0.189819,0.189819
0.006950,0.864714,0.282593,0.117035
0.007000,0.924888,0.407104,0.016785
0.007050,0.948540,0.530396,-0.124512
0.007100,0.934599,0.631104,-0.263367
0.007150,0.884106,0.755615,-0.385437
0.007200,0.802075,0.819702,-0.502014
0.007250,0.696023,0.869141,-0.549164
0.007300,0.573781,0.899048,-0.553131
0.007350,0.444108,0.867920,-0.481567
0.007400,0.316474,0.829468,-0.419159
0.007450,0.199579,0.755005,-0.316467
0.007500,0.099646,0.644531,-0.195007
0.007550,0.019999,0.535889,-0.026550
0.007600,-0.037762,0.410156,0.075073
0.007650,-0.074015,0.278320,0.165863
0.007700,-0.092179,0.192261,0.263062
0.007750,-0.095662,0.089722,0.301056
0.007800,-0.087031,0.012817,0.312653
0.007850,-0.070466,-0.018311,0.285950
0.007900,-0.051039,-0.068359,0.238037
0.007950,-0.032651,-0.071411,0.187073
0.008000,-0.017294,-0.066528,0.102081
0.008050,-0.005253,-0.068359,0.026855
0.008100,0.003027,-0.050659,-0.020294
0.008150,0.006987,-0.039673,-0.065613
0.008200,0.007931,-0.017090,-0.066071
0.008250,0.007128,-0.008545,-0.086060
0.008300,0.005386,0.000610,-0.079346
0.008350,0.003838,0.009155,-0.066986
0.008400,0.002522,0.022583,-0.046997
0.008450,0.001052,0.014038,-0.030670
0.008500,-0.000530,0.014648,-0.017548
0.008550,-0.001717,0.028076,-0.026398
0.008600,-0.002183,0.018311,-0.009308
0.008650,-0.002334,-0.002441,-0.014648
0.008700,-0.002553,0.009766,0.014496
0.008750,-0.002618,0.008545,0.012360
0.008800,-0.002155,0.009766,-0.016174
0.008850,-0.001401,-0.001831,0.001221
0.008900,-0.000896,0.007324,-0.022736
0.008950,-0.000595,-0.003662,-0.021973
0.009000,-0.000151,0.006104,-0.010986
0.009050,-0.000139,0.000610,-0.028839
0.009100,-0.000522,0.007935,-0.010071
0.009150,-0.000305,-0.005493,0.009766
0.009200,0.000037,-0.001221,-0.014954
0.009250,-0.000297,0.011597,-0.030365
0.009300,-0.001303,-0.010986,0.008392
0.009350,-0.002393,0.011597,-0.020294
0.009400,-0.002785,-0.012817,0.002441
0.009450,-0.002418,0.009155,0.000916
0.009500,-0.001729,0.004883,-0.018921
0.009550,-0.001500,-0.004272,-0.010223
0.009600,-0.001633,0.004883,-0.002136
0.009650,-0.001629,-0.000610,0.004883
0.009700,-0.001730,0.007935,-0.025787
0.009750,-0.002013,0.000610,-0.023193
0.009800,-0.001678,-0.001221,-0.028534
0.009850,-0.001093,0.000610,-0.004730
0.009900,-0.000997,-0.007324,-0.009918
0.009950,-0.000957,0.015869,-0.007172
0.010000,-0.000970,0.003052,-0.000610
0.010050,-0.000671,0.006714,0.007172
0.010100,-0.000606,-0.000610,-0.007782
0.010150,-0.001472,0.008545,-0.003815
0.010200,-0.002484,0.003052,-0.006866
0.010250,-0.003157,0.006714,-0.005188
0.010300,-0.003177,0.000000,-0.023804
0.010350,-0.002274,-0.001831,-0.026398
0.010400,-0.001326,-0.001831,-0.023193
0.010450,-0.000816,0.004883,0.010376
0.010500,-0.000642,-0.001831,-0.001068
0.010550,-0.000647,-0.007324,-0.011597
0.010600,-0.000621,-0.003052,-0.018158
0.010650,-0.000393,-0.005493,-0.027008
0.010700,0.000053,0.004883,-0.016479
0.010750,0.000007,0.009766,-0.003662
0.010800,-0.000425,-0.004272,-0.007935
0.010850,-0.001089,-0.014038,-0.004578
0.010900,-0.001566,0.000610,-0.003967
0.010950,-0.000951,-0.003052,-0.004578
0.011000,0.000099,-0.008545,-0.006866
0.011050,0.000175,0.012207,0.001526
0.011100,-0.000622,0.011597,-0.002289
0.011150,-0.001093,-0.003662,0.000305
0.011200,-0.000685,0.007324,-0.007324
0.011250,-0.000152,0.000610,-0.016632
0.011300,-0.000132,-0.001221,-0.028534
0.011350,-0.000297,-0.006104,-0.011444
0.011400,-0.000170,-0.002441,0.003967
0.011450,0.000182,0.002441,-0.007324
0.011500,0.000113,0.010986,-0.021667
0.011550,0.000102,0.002441,-0.016785
0.011600,0.000531,0.001221,-0.000458
0.011650,0.000517,0.009155,-0.005188
0.011700,-0.000040,-0.005493,-0.016327
0.011750,-0.000890,0.011597,-0.029297
0.011800,-0.001652,0.001831,0.004578
0.011850,-0.001587,0.003052,-0.009766
0.011900,-0.001293,0.001831,-0.014191
0.011950,-0.001523,0.003662,0.000153
0.012000,-0.001493,0.004883,-0.002441
0.012050,-0.001344,0.007935,-0.018158
0.012100,-0.001879,0.008545,-0.000916
0.012150,-0.001889,0.003052,0.010223
0.012200,-0.001706,-0.004272,-0.006256
0.012250,-0.002139,-0.012207,-0.027771
0.012300,-0.001583,-0.007935,-0.017853
0.012350,-0.000178,-0.006104,0.004883
0.012400,0.000172,-0.020752,-0.009155
0.012450,-0.000306,0.000000,-0.023041
0.012500,-0.000607,-0.007324,-0.008698
0.012550,-0.000733,0.001831,-0.016785
0.012600,-0.000216,-0.003052,-0.009308
0.012650,0.000301,-0.001221,-0.000305
0.012700,-0.000277,0.010376,-0.021515
0.012750,-0.000961,0.002441,-0.009003
0.012800,-0.001086,0.006714,-0.006714
0.012850,-0.001294,0.011597,-0.011292
0.012900,-0.001210,0.007935,-0.007172
0.012950,-0.000462,0.006714,-0.001984
0.013000,0.000317,0.003662,-0.006714
0.013050,0.000100,0.014038,-0.017700
0.013100,-0.000797,-0.003052,-0.001678
0.013150,-0.000926,0.004272,-0.026855
0.013200,-0.000555,-0.007324,-0.007324
0.013250,0.000315,0.010376,-0.007172
0.013300,0.001353,0.002441,-0.006256
0.013350,0.001205,0.003052,-0.008850
0.013400,0.000651,0.007324,0.000153
0.013450,0.000182,0.008545,-0.005646
0.013500,-0.000116,0.000610,-0.021667
0.013550,0.000187,0.001221,-0.016937
0.013600,0.000464,0.008545,-0.026093
0.013650,0.000442,-0.003662,0.010834
0.013700,0.000218,0.012817,-0.013123
0.013750,-0.000421,0.003662,-0.011902
0.013800,-0.001005,-0.003662,0.000000
0.013850,-0.000639,-0.008545,-0.007019
0.013900,-0.000279,-0.001221,-0.010986
0.013950,-0.000457,-0.001221,-0.004578
0.014000,-0.000362,-0.001831,-0.017700
0.014050,-0.000345,0.001221,-0.001831
0.014100,-0.000467,0.001221,0.004120
0.014150,0.000088,0.000610,-0.024261
0.014200,0.000976,0.000000,-0.012054
0.014250,0.001428,0.004883,0.006866
0.014300,0.001188,-0.009766,0.003052
0.014350,0.000829,0.010376,-0.004883
0.014400,0.001055,0.008545,0.015106
0.014450,0.001604,0.009766,-0.010834
0.014500,0.001950,-0.000610,0.007782
0.014550,0.001600,0.006104,-0.005035
0.014600,0.000837,0.000610,-0.025482
