t [s],u [deg],y [deg],i [A]
0.000000,-0.000819,-0.001831,0.005646
0.000050,-0.000512,0.001221,-0.007324
0.000100,0.000494,0.017090,-0.009003
0.000150,0.000478,0.003662,-0.004120
0.000200,-0.000196,0.001831,-0.009613
0.000250,-0.000805,-0.004883,0.026550
0.000300,-0.001030,-0.011597,0.025177
0.000350,-0.000897,-0.004272,-0.025330
0.000400,-0.000472,-0.002441,0.007782
0.000450,0.000357,0.003052,-0.006256
0.000500,0.001394,0.008545,-0.017853
0.000550,0.002501,-0.001221,0.006561
0.000600,0.003119,0.000610,-0.003357
0.000650,0.002812,0.011597,0.006409
0.000700,0.001705,0.009155,-0.025940
0.000750,0.000219,-0.006104,0.001068
0.000800,-0.000818,0.009155,-0.010071
0.000850,-0.000989,0.006714,-0.042725
0.000900,-0.000901,-0.003052,-0.006409
0.000950,-0.000936,0.004883,-0.004120
0.001000,-0.000832,-0.001831,-0.026703
0.001050,-0.000352,-0.006104,-0.012970
0.001100,0.000246,-0.003662,0.001984
0.001150,0.000540,0.006104,-0.008392
0.001200,0.000618,-0.004883,-0.007782
0.001250,0.000781,0.000000,0.005341
0.001300,0.000884,0.001221,-0.022430
0.001350,0.000931,0.006104,0.002136
0.001400,0.001221,0.001831,-0.004578
0.001450,0.001734,0.012207,-0.011749
0.001500,0.001885,0.006104,-0.008240
0.001550,0.001632,0.008545,-0.028229
0.001600,0.001275,0.012207,-0.010223
0.001650,0.000753,0.002441,0.001526
0.001700,0.000526,0.004272,-0.017090
0.001750,0.000553,-0.003052,-0.024261
0.001800,-0.000070,0.001831,0.002289
0.001850,-0.001466,0.000610,-0.005951
0.001900,-0.002225,0.010986,0.010223
0.001950,-0.002166,0.017700,0.010376
0.002000,-0.001654,-0.001221,0.000916
0.002050,-0.000172,-0.000610,-0.014496
0.002100,0.000746,0.002441,-0.021667
0.002150,0.000484,0.012207,-0.010681
0.002200,0.000640,-0.009155,0.022430
0.002250,0.001333,-0.014038,-0.007629
0.002300,0.001995,0.004272,-0.010986
0.002350,0.002431,-0.005493,-0.030365
0.002400,0.002408,0.012817,-0.000763
0.002450,0.002125,-0.004272,0.007935
0.002500,0.001926,0.010986,-0.011902
0.002550,0.001788,0.001831,-0.016174
0.002600,0.001686,0.008545,-0.022278
0.002650,0.001424,-0.003662,-0.016632
0.002700,0.001093,-0.001221,-0.027924
0.002750,0.001037,0.000000,-0.006409
0.002800,0.001019,0.001221,-0.015106
0.002850,0.000846,0.004883,0.000153
0.002900,0.000646,0.013428,-0.012207
0.002950,0.000144,0.013428,-0.018768
0.003000,-0.000677,0.017700,-0.006714
0.003050,-0.000680,0.004272,-0.023956
0.003100,0.000000,-0.001831,-0.014038
0.003150,0.000070,0.006104,-0.009766
0.003200,0.000054,0.000610,-0.008545
0.003250,0.000761,0.005493,-0.008850
0.003300,0.001383,0.001831,-0.030518
0.003350,0.001095,0.007935,0.005798
0.003400,0.000782,-0.003662,-0.020752
0.003450,0.000887,0.006714,-0.016022
0.003500,0.000452,0.005493,-0.023346
0.003550,-0.000076,0.012207,-0.011139
0.003600,-0.000260,-0.007324,-0.000916
0.003650,-0.000191,-0.006714,-0.005798
0.003700,0.000797,-0.009766,-0.008087
0.003750,0.001931,0.003662,-0.008698
0.003800,0.002516,-0.003662,0.010376
0.003850,0.002664,0.010376,-0.012665
0.003900,0.001940,-0.004883,-0.014648
0.003950,0.001408,0.001221,-0.030823
0.004000,0.001228,0.000610,-0.034485
0.004050,0.000756,0.007324,-0.033417
0.004100,0.001134,0.000610,-0.006561
0.004150,0.002294,0.006104,-0.006409
0.004200,0.003078,0.009155,0.003204
0.004250,0.003308,-0.001831,-0.022430
0.004300,0.003165,0.010376,-0.012665
0.004350,0.002821,0.003662,-0.014496
0.004400,0.002388,-0.004272,-0.016022
0.004450,0.002064,0.009766,-0.019989
0.004500,0.001584,-0.001831,-0.020447
0.004550,0.000611,-0.001221,-0.014496
0.004600,-0.000435,0.007324,-0.015869
0.004650,-0.001465,-0.003662,-0.007324
0.004700,-0.001942,0.000000,-0.001221
0.004750,-0.001490,0.007935,-0.022278
0.004800,-0.000663,-0.001221,-0.007324
0.004850,0.000083,-0.005493,0.016632
0.004900,0.000771,0.008545,-0.003357
0.004950,0.000886,0.001831,-0.015106
0.005000,-0.000195,-0.003662,-0.001526
0.005050,-0.001107,0.006104,0.007019
0.005100,-0.001051,0.007324,-0.032959
0.005150,-0.000538,0.000610,-0.011444
0.005200,0.000256,-0.005493,-0.018921
0.005250,0.000947,0.014648,0.003204
0.005300,0.001453,0.001221,-0.017090
0.005350,0.001965,-0.001221,-0.006104
0.005400,0.002346,0.003052,0.015564
0.005450,0.002442,0.000000,-0.018463
0.005500,0.002329,0.004883,-0.010986
0.005550,0.001542,-0.004883,-0.003204
0.005600,-0.000308,0.001831,-0.015411
0.005650,-0.002845,-0.004883,-0.035553
0.005700,-0.005551,0.000610,-0.036621
0.005750,-0.009137,-0.000610,-0.034332
0.005800,-0.015169,-0.008545,-0.036163
0.005850,-0.023279,-0.011597,-0.035095
0.005900,-0.032181,-0.002441,-0.033875
0.005950,-0.040959,-0.009155,-0.026550
0.006000,-0.048937,-0.011597,-0.028229
0.006050,-0.055526,-0.018311,-0.051575
0.006100,-0.059527,-0.022583,-0.021210
0.006150,-0.059273,-0.040894,-0.007324
0.006200,-0.053558,-0.038452,0.017242
0.006250,-0.041081,-0.051880,0.029602
0.006300,-0.019946,-0.067139,0.046234
0.006350,0.011242,-0.050659,0.060120
0.006400,0.053528,-0.054321,0.088806
0.006450,0.107724,-0.027466,0.108337
0.006500,0.173672,-0.028687,0.131378
0.006550,0.250175,0.000000,0.169373
0.006600,0.335661,0.032959,0.174408
0.006650,0.427232,0.073853,0.188141
0.006700,0.521771,0.128784,0.179596
0.006750,0.616853,0.198364,0.156097
0.006800,0.707728,0.268555,0.089874
0.006850,0.789784,0.336914,0.099487
0.006900,0.860323,0.423584,0.057678
0.006950,0.915915,0.524292,-0.024414
0.007000,0.953745,0.599976,-0.096893
0.007050,0.971729,0.706177,-0.157013
0.007100,0.968705,0.767822,-0.214996
0.007150,0.945071,0.828247,-0.227051
0.007200,0.901567,0.882568,-0.294342
0.007250,0.840675,0.925903,-0.334625
0.007300,0.766390,0.941162,-0.312500
0.007350,0.682041,0.929565,-0.294342
0.007400,0.591036,0.899048,-0.305176
0.007450,0.496929,0.864258,-0.242615
0.007500,0.403817,0.803833,-0.184631
0.007550,0.315720,0.719604,-0.136261
0.007600,0.234714,0.637207,-0.067139
0.007650,0.162776,0.553589,-0.043945
0.007700,0.100870,0.466919,-0.002594
0.007750,0.049150,0.378418,0.057983
0.007800,0.008728,0.312500,0.090790
0.007850,-0.020964,0.216675,0.163879
0.007900,-0.041545,0.159302,0.147705
0.007950,-0.054237,0.091553,0.113373
0.008000,-0.060313,0.047607,0.151825
0.008050,-0.061037,0.017090,0.115204
0.008100,-0.057560,-0.009155,0.124512
0.008150,-0.051078,-0.039062,0.118713
0.008200,-0.043357,-0.034790,0.062256
0.008250,-0.035443,-0.055542,0.047455
0.008300,-0.028436,-0.054321,0.041962
0.008350,-0.022688,-0.031738,-0.014343
0.008400,-0.017037,-0.044556,0.013123
0.008450,-0.011601,-0.023193,-0.036469
0.008500,-0.007122,-0.025024,-0.010834
0.008550,-0.004208,-0.022583,-0.025024
0.008600,-0.003140,-0.029907,-0.023346
0.008650,-0.003143,-0.011597,-0.022583
0.008700,-0.003203,-0.005493,-0.041046
0.008750,-0.002321,0.007935,-0.025635
0.008800,-0.001115,0.005493,-0.032501
0.008850,-0.001039,-0.009155,-0.013733
