t [s],u [deg],y [deg],i [A]
0.000000,-0.000529,0.009155,-0.012054
0.000050,-0.001362,-0.000610,-0.017395
0.000100,-0.001653,0.013428,-0.022888
0.000150,-0.001295,0.012817,-0.024261
0.000200,-0.001229,-0.000610,-0.033722
0.000250,-0.001166,0.003052,-0.012054
0.000300,-0.000927,-0.011597,0.013733
0.000350,-0.000727,-0.010376,0.006256
0.000400,-0.000165,-0.004272,-0.032043
0.000450,0.000604,0.017090,-0.018616
0.000500,0.001327,-0.002441,-0.013885
0.000550,0.002019,0.002441,0.021057
0.000600,0.002548,0.001221,-0.008240
0.000650,0.002708,0.015259,-0.005341
0.000700,0.001927,0.009155,-0.014954
0.000750,0.000097,0.001831,-0.032959
0.000800,-0.001351,0.004883,-0.023499
0.000850,-0.001300,0.014038,-0.013275
0.000900,-0.001115,0.001831,0.001984
0.000950,-0.001258,-0.003662,-0.014191
0.001000,-0.000355,0.000610,-0.018463
0.001050,0.000908,0.005493,-0.009766
0.001100,0.001157,-0.002441,-0.017090
0.001150,0.000528,0.001221,-0.007477
0.001200,0.000098,0.006714,-0.021820
0.001250,0.000286,-0.001221,-0.000610
0.001300,0.000804,-0.002441,-0.034485
0.001350,0.001576,-0.002441,-0.029297
0.001400,0.001953,0.000000,0.014191
0.001450,0.002003,0.003052,-0.005798
0.001500,0.002223,0.006714,-0.019379
0.001550,0.001964,-0.003052,-0.016632
0.001600,0.001450,0.001221,-0.016479
0.001650,0.001478,0.014648,-0.003052
0.001700,0.001451,0.001221,-0.019989
0.001750,0.001023,-0.004883,-0.023956
0.001800,0.000530,0.006104,-0.025330
0.001850,-0.000217,-0.001831,-0.018921
0.001900,-0.001098,0.011597,-0.021973
0.001950,-0.001558,-0.002441,-0.023804
0.002000,-0.001268,0.011597,-0.016479
0.002050,-0.000375,0.003662,-0.015411
0.002100,-0.000018,0.015869,-0.012665
0.002150,0.000042,0.009766,-0.021515
0.002200,0.000856,0.014038,0.006561
0.002250,0.001526,-0.001831,0.001221
0.002300,0.001849,-0.004272,-0.018158
0.002350,0.002291,0.010376,-0.010986
0.002400,0.002495,-0.001221,-0.012054
0.002450,0.002399,0.006714,-0.017242
0.002500,0.002282,0.004883,-0.010223
0.002550,0.001800,0.007935,-0.025482
0.002600,0.000951,-0.001221,-0.025787
0.002650,0.000637,0.004883,-0.016174
0.002700,0.000391,0.010376,-0.028534
0.002750,-0.000173,0.006104,-0.033569
0.002800,0.000057,0.001831,-0.001221
0.002850,0.000862,0.000000,-0.002289
0.002900,0.001279,-0.001831,-0.021515
0.002950,0.000990,0.005493,-0.015564
0.003000,0.000384,-0.005493,0.000305
0.003050,0.000209,-0.000610,-0.007477
0.003100,-0.000164,-0.004272,-0.000305
0.003150,-0.000939,0.012817,-0.009003
0.003200,-0.000683,0.005493,-0.025177
0.003250,0.000417,-0.001831,0.001678
0.003300,0.000690,0.008545,-0.004578
0.003350,0.000703,-0.011597,-0.010071
0.003400,0.001311,0.007935,-0.009155
0.003450,0.001464,0.000610,-0.009308
0.003500,0.001508,0.001221,-0.022888
0.003550,0.001910,-0.002441,-0.005341
0.003600,0.001629,-0.001831,-0.005646
0.003650,0.001211,0.003052,-0.007019
0.003700,0.001609,0.014038,-0.011444
0.003750,0.002220,0.018311,-0.016327
0.003800,0.002647,0.003052,-0.016174
0.003850,0.002709,0.009155,-0.002441
0.003900,0.002012,-0.001831,-0.005951
0.003950,0.000999,0.000000,-0.024109
0.004000,0.000448,0.004272,-0.027313
0.004050,-0.000155,0.008545,-0.024414
0.004100,-0.000447,0.006714,-0.009155
0.004150,0.001043,-0.003662,-0.009460
0.004200,0.003147,-0.005493,-0.009460
0.004250,0.003870,0.004272,0.002289
0.004300,0.003531,0.004883,-0.008850
0.004350,0.002998,0.000610,-0.012970
0.004400,0.002254,-0.006714,-0.009460
0.004450,0.001965,0.003052,-0.037842
0.004500,0.001978,0.006104,-0.040894
0.004550,0.000939,-0.004272,0.006104
0.004600,-0.000569,0.010986,-0.026550
0.004650,-0.001316,-0.003052,-0.023956
0.004700,-0.001519,-0.001221,-0.015106
0.004750,-0.001417,0.016479,-0.006256
0.004800,-0.000816,-0.001831,0.000763
0.004850,-0.000165,-0.000610,-0.008545
0.004900,0.000363,0.010376,0.003510
0.004950,0.000722,0.005493,-0.014801
0.005000,0.000200,0.006104,-0.001678
0.005050,-0.000601,0.000610,-0.009918
0.005100,-0.001267,-0.010376,-0.007477
0.005150,-0.000918,0.001831,-0.017548
0.005200,0.000680,-0.006104,-0.016327
0.005250,0.001070,-0.003662,0.002899
0.005300,0.000673,0.010376,-0.013275
0.005350,0.000643,0.002441,-0.002136
0.005400,0.001002,0.009155,-0.011444
0.005450,0.001631,0.017090,-0.003052
0.005500,0.002171,0.010376,-0.030823
0.005550,0.002160,-0.002441,-0.027771
0.005600,0.000138,-0.001221,-0.007935
0.005650,-0.003127,0.011597,-0.020599
0.005700,-0.005942,0.003662,-0.004883
0.005750,-0.008818,0.014038,-0.025635
0.005800,-0.013877,0.006714,-0.016022
0.005850,-0.021864,0.007324,-0.011749
0.005900,-0.031014,-0.007324,-0.034180
0.005950,-0.040636,0.006104,-0.017700
0.006000,-0.050475,-0.014648,-0.005341
0.006050,-0.058093,-0.021973,-0.019531
0.006100,-0.061171,-0.023804,-0.032806
0.006150,-0.060150,-0.031128,0.003815
0.006200,-0.054700,-0.041504,0.008698
0.006250,-0.042265,-0.050659,0.021057
0.006300,-0.021088,-0.057983,0.036316
0.006350,0.009887,-0.063477,0.049438
0.006400,0.051914,-0.052490,0.088959
0.006450,0.105974,-0.048828,0.143738
0.006500,0.170838,-0.029907,0.107422
0.006550,0.245495,-0.014648,0.158081
0.006600,0.330178,0.043335,0.166626
0.006650,0.422237,0.069580,0.182037
0.006700,0.517409,0.137329,0.175934
0.006750,0.612070,0.189209,0.159302
0.006800,0.702928,0.273437,0.111389
0.006850,0.785912,0.358276,0.071259
0.006900,0.856429,0.423584,0.030212
0.006950,0.911907,0.516357,-0.020599
0.007000,0.950194,0.595703,-0.056610
0.007050,0.968345,0.693359,-0.171509
0.007100,0.965748,0.779419,-0.212708
0.007150,0.943298,0.834961,-0.260468
0.007200,0.901368,0.882568,-0.313263
0.007250,0.842354,0.924072,-0.307007
0.007300,0.769710,0.922852,-0.332031
0.007350,0.686183,0.917969,-0.290070
0.007400,0.595679,0.897217,-0.296783
0.007450,0.502139,0.854492,-0.252380
0.007500,0.409311,0.808105,-0.200348
0.007550,0.321063,0.744629,-0.131073
0.007600,0.239522,0.661621,-0.073242
0.007650,0.166587,0.578613,-0.050659
0.007700,0.104306,0.463257,0.000153
0.007750,0.052928,0.403442,0.079193
0.007800,0.012220,0.304565,0.100403
0.007850,-0.018281,0.231934,0.152130
0.007900,-0.039841,0.158081,0.176392
0.007950,-0.053502,0.096436,0.165558
0.008000,-0.060312,0.055542,0.153656
0.008050,-0.061428,0.018311,0.120087
0.008100,-0.057924,-0.012817,0.110931
0.008150,-0.052038,-0.037842,0.089722
0.008200,-0.045014,-0.042725,0.072937
0.008250,-0.036970,-0.051270,0.024872
0.008300,-0.029208,-0.051880,0.012360
0.008350,-0.022222,-0.053711,0.037537
0.008400,-0.016369,-0.039062,-0.001068
0.008450,-0.011681,-0.042114,0.005341
0.008500,-0.007301,-0.033569,-0.010223
0.008550,-0.004292,-0.021973,-0.030518
0.008600,-0.002944,-0.006714,-0.028076
0.008650,-0.002344,0.001831,-0.049591
0.008700,-0.002574,-0.016479,-0.041809
0.008750,-0.002653,-0.014038,-0.011292
0.008800,-0.002127,-0.006714,-0.019073
0.008850,-0.001957,0.002441,-0.052338
0.008900,-0.002254,0.000610,-0.019379
0.008950,-0.002155,0.004883,-0.003662
0.009000,-0.001769,0.001831,-0.022125
0.009050,-0.001548,-0.001221,-0.010834
0.009100,-0.001015,0.007935,-0.018158
0.009150,-0.000279,-0.010986,0.010376
0.009200,-0.000565,0.007324,-0.014343
0.009250,-0.002008,0.008545,-0.000916
0.009300,-0.003149,0.005493,-0.007019
0.009350,-0.003763,0.004272,-0.026550
0.009400,-0.004103,0.004272,-0.017242
0.009450,-0.003455,0.019531,-0.021515
0.009500,-0.002614,-0.004272,-0.003662
0.009550,-0.002683,0.003662,-0.005798
0.009600,-0.002372,0.003052,-0.010681
0.009650,-0.001431,0.001831,-0.010223
0.009700,-0.000960,0.011597,-0.004120
0.009750,-0.000992,0.010376,-0.017242
0.009800,-0.000855,0.015259,-0.018768
0.009850,-0.000413,0.001221,-0.016174
0.009900,-0.000407,-0.001221,-0.022888
0.009950,-0.001209,0.006104,-0.022583
0.010000,-0.001724,0.003662,0.010071
0.010050,-0.001161,0.003052,-0.009613
0.010100,-0.000351,0.011597,0.008240
0.010150,0.000102,-0.010986,-0.011139
0.010200,0.000083,0.007324,-0.004730
0.010250,0.000382,0.007324,-0.010223
0.010300,0.000720,0.003052,0.002747
0.010350,0.000293,0.007324,-0.005341
0.010400,-0.000114,0.002441,-0.006104
0.010450,-0.000465,-0.006104,-0.011292
0.010500,-0.001003,-0.009766,-0.028076
0.010550,-0.001284,0.005493,-0.016479
0.010600,-0.001697,-0.007324,-0.009460
0.010650,-0.002085,0.001831,-0.021973
0.010700,-0.001282,0.007324,0.001678
0.010750,-0.000319,-0.004272,-0.016327
0.010800,-0.000333,0.009766,0.003204
0.010850,-0.000523,0.010376,-0.025787
0.010900,-0.000720,0.000000,-0.016479
0.010950,-0.000955,-0.001831,0.000610
0.011000,-0.000995,-0.000610,-0.012207
0.011050,-0.001243,0.012817,-0.030365
0.011100,-0.001685,-0.003662,-0.024414
0.011150,-0.001561,-0.002441,-0.011902
0.011200,-0.001249,-0.004883,-0.002747
0.011250,-0.001297,0.004272,-0.019226
0.011300,-0.001119,0.011597,-0.031891
0.011350,-0.001197,-0.006104,0.003052
0.011400,-0.001771,0.010986,-0.006866
0.011450,-0.002046,0.000610,-0.012207
0.011500,-0.001893,0.010376,-0.020447
0.011550,-0.001952,-0.003662,0.002747
0.011600,-0.002320,0.004272,-0.006561
0.011650,-0.002330,-0.011597,0.005188
0.011700,-0.001873,0.003662,-0.013428
0.011750,-0.001071,0.001831,-0.009003
0.011800,0.000004,-0.006104,-0.019379
0.011850,0.000973,-0.000610,-0.007935
0.011900,0.000750,-0.006714,0.002136
0.011950,-0.000219,0.002441,-0.001831
0.012000,-0.000495,0.006714,0.002136
0.012050,-0.000070,-0.005493,-0.012970
0.012100,0.000625,0.012817,-0.010071
0.012150,0.000662,0.010986,-0.006104
0.012200,-0.000391,0.003052,0.012512
0.012250,-0.001611,0.014648,-0.008240
0.012300,-0.001857,0.003662,-0.005035
0.012350,-0.001721,0.002441,-0.012970
0.012400,-0.002284,-0.003662,-0.027618
0.012450,-0.002218,-0.001221,-0.028076
0.012500,-0.000947,0.004883,-0.010071
0.012550,0.000282,0.001221,0.000305
0.012600,0.001046,0.013428,-0.011444
0.012650,0.001177,-0.004883,0.011139
0.012700,0.000998,0.007324,-0.009460
0.012750,0.001160,-0.004883,-0.022125
0.012800,0.001188,0.007324,-0.014954
0.012850,0.000182,-0.002441,-0.003967
0.012900,-0.001370,0.007324,-0.030670
0.012950,-0.001668,0.001221,-0.026855
0.013000,-0.000414,-0.007324,-0.019836
0.013050,0.001344,0.019531,-0.002136
0.013100,0.002422,0.003052,-0.018005
0.013150,0.002631,0.000000,-0.024872
0.013200,0.002721,0.000610,0.000305
0.013250,0.001942,0.009155,0.009155
0.013300,0.000884,0.009766,-0.021210
0.013350,0.000580,0.001221,-0.013733
0.013400,0.000004,-0.007324,-0.006104
0.013450,-0.000275,0.014648,-0.009155
0.013500,0.000735,0.003052,-0.003357
0.013550,0.001247,0.005493,0.012817
0.013600,-0.000033,-0.001831,-0.006409
0.013650,-0.001540,0.006104,-0.021820
0.013700,-0.001791,-0.008545,-0.025635
0.013750,-0.000958,-0.004272,-0.025787
0.013800,-0.000547,-0.007935,-0.003204
0.013850,-0.001104,-0.002441,-0.002594
0.013900,-0.000738,0.002441,0.029449
0.013950,0.000910,0.009766,-0.008392
0.014000,0.001925,0.008545,-0.020905
0.014050,0.001885,0.007324,-0.010223
0.014100,0.001048,-0.003052,0.011292
0.014150,-0.000408,0.017700,-0.029907
0.014200,-0.000960,-0.001221,-0.010681
0.014250,0.000165,0.009766,-0.003357
0.014300,0.000985,0.000610,0.004883
0.014350,0.001459,0.008545,-0.009460
0.014400,0.002507,0.004883,0.003510
0.014450,0.003167,0.007324,0.005035
0.014500,0.003700,0.005493,-0.019684
0.014550,0.003166,0.007324,-0.010071
0.014600,0.001354,0.007935,-0.037537
