t [s],u [deg],y [deg],i [A]
0.000000,0.000035,-0.012817,0.010986
0.000050,0.000645,0.000000,-0.019684
0.000100,0.001269,-0.007324,0.015259
0.000150,0.001539,0.012817,-0.021820
0.000200,0.001315,0.008545,-0.021515
0.000250,0.001073,0.005493,-0.028534
0.000300,0.000958,0.026245,-0.025024
0.000350,0.000630,-0.003662,-0.016327
0.000400,-0.000092,-0.001831,0.007172
0.000450,-0.000825,0.006104,0.011902
0.000500,-0.001055,-0.005493,-0.031281
0.000550,-0.000939,0.000000,-0.019531
0.000600,-0.000778,0.002441,-0.015106
0.000650,-0.000327,0.002441,-0.009308
0.000700,0.000594,-0.006104,-0.008392
0.000750,0.000889,-0.000610,-0.008087
0.000800,0.000290,0.006104,-0.007935
0.000850,-0.000011,0.010986,-0.025024
0.000900,0.000384,-0.001221,0.005951
0.000950,0.000312,-0.001221,-0.028839
0.001000,-0.000125,-0.003662,-0.003662
0.001050,0.000584,0.004883,-0.001373
0.001100,0.001377,0.005493,-0.025177
0.001150,0.001253,0.008545,0.015411
0.001200,0.000909,0.005493,-0.009918
0.001250,0.000522,0.010376,-0.027618
0.001300,0.000505,0.005493,-0.004120
0.001350,0.000849,0.009155,-0.015106
0.001400,0.000641,-0.001221,-0.023956
0.001450,-0.000239,0.002441,-0.027161
0.001500,-0.000682,0.007935,-0.021210
0.001550,-0.000927,0.000610,-0.024719
0.001600,-0.001699,0.006714,-0.031433
0.001650,-0.002383,-0.002441,-0.023193
0.001700,-0.002222,-0.006104,-0.028534
0.001750,-0.001367,-0.009155,-0.004120
0.001800,-0.000318,0.016479,-0.030365
0.001850,0.000444,-0.002441,-0.023499
0.001900,0.000370,0.003662,0.012360
0.001950,0.000555,-0.001221,-0.001221
0.002000,0.000843,0.002441,-0.028076
0.002050,0.000491,0.010986,0.002289
0.002100,0.000170,-0.002441,-0.005341
0.002150,-0.000585,-0.004883,-0.012970
0.002200,-0.000992,0.001831,-0.010376
0.002250,0.000008,0.008545,-0.003052
0.002300,0.001024,-0.005493,-0.010223
0.002350,0.001024,-0.004883,-0.029297
0.002400,0.000383,0.001221,-0.012970
0.002450,-0.000038,0.005493,-0.021973
0.002500,0.000116,0.002441,-0.011902
0.002550,0.000411,-0.007935,0.005646
0.002600,0.000938,-0.000610,-0.000610
0.002650,0.001700,0.010376,-0.016479
0.002700,0.001393,-0.000610,-0.027466
0.002750,0.000421,0.009766,-0.017853
0.002800,0.000101,0.010986,-0.008392
0.002850,-0.000197,-0.013428,-0.010071
0.002900,-0.000029,0.007324,-0.020752
0.002950,0.000755,-0.001221,-0.015564
0.003000,0.000054,0.001221,-0.002136
0.003050,-0.001418,-0.003662,-0.003204
0.003100,-0.001754,-0.000610,-0.006561
0.003150,-0.001301,-0.003662,-0.036469
0.003200,-0.000102,0.006104,-0.015411
0.003250,0.000835,0.009155,-0.003052
0.003300,0.000392,-0.006714,0.003510
0.003350,-0.000462,-0.005493,-0.021210
0.003400,-0.000750,-0.009155,-0.025330
0.003450,-0.001166,-0.010986,-0.017548
0.003500,-0.002060,-0.001221,-0.025177
0.003550,-0.001999,-0.003662,-0.021973
0.003600,-0.000895,-0.004883,-0.013580
0.003650,0.000112,-0.007935,-0.000153
0.003700,0.000497,0.000610,-0.011139
0.003750,0.000261,-0.007935,-0.008850
0.003800,-0.000101,0.007324,-0.010529
0.003850,-0.000746,0.007324,-0.011902
0.003900,-0.001319,-0.002441,-0.028076
0.003950,-0.001208,0.000610,-0.017242
0.004000,-0.001360,-0.001221,-0.008545
0.004050,-0.001864,0.004272,-0.023193
0.004100,-0.001766,-0.001221,0.006714
0.004150,-0.001230,-0.009766,-0.012817
0.004200,-0.000483,-0.001831,-0.023041
0.004250,0.000234,0.003052,-0.012207
0.004300,0.000520,0.001221,-0.016022
0.004350,0.001076,-0.003052,-0.013123
0.004400,0.001458,0.003052,-0.028534
0.004450,0.000507,0.005493,-0.031586
0.004500,-0.000650,-0.000610,-0.023499
0.004550,-0.000752,-0.003662,-0.027313
0.004600,0.000062,0.003662,-0.010986
0.004650,0.001106,0.013428,-0.010071
0.004700,0.001375,-0.005493,0.010681
0.004750,0.000864,0.006714,-0.025024
0.004800,0.000663,-0.003052,-0.010986
0.004850,0.000839,0.006104,-0.014343
0.004900,0.000613,0.011597,-0.033569
0.004950,0.000471,0.001221,0.001373
0.005000,0.000537,-0.004883,-0.012665
0.005050,0.000278,-0.009155,-0.017242
0.005100,0.000078,0.007935,-0.012970
0.005150,-0.000227,-0.001831,0.001221
0.005200,-0.000691,0.003052,-0.004883
0.005250,-0.000874,0.001221,-0.026398
0.005300,-0.000717,-0.016479,-0.003204
