t [s],u [deg],y [deg],i [A],r (deg)
0,0.001484,0.004883,-0.002441,0
0.00005,0.001515,-0.004272,-0.001373,0
0.0001,0.00088,0.01709,-0.018921,0
0.00015,0.000664,-0.001831,-0.001678,0
0.0002,0.001262,-0.001831,-0.015411,0
0.00025,0.001634,0.014038,-0.024567,0
0.0003,0.00117,-0.012817,-0.00885,0
0.00035,0.00075,-0.001221,0.004578,0
0.0004,0.0009,-0.001831,-0.001221,0
0.00045,0.001061,-0.00061,-0.015259,0
0.0005,0.000629,0.004272,-0.003204,0
0.00055,-0.000234,0.006714,-0.003357,0
0.0006,-0.001412,0.00061,-0.012817,0
0.00065,-0.002172,0.004883,0.000916,0
0.0007,-0.001453,0.013428,0.011902,0
0.00075,-0.00029,0.004883,-0.025177,0
0.0008,-0.000251,0.005493,-0.007629,0
0.00085,-0.000999,0.00061,-0.019684,0
0.0009,-0.001699,0.003662,-0.017548,0
0.00095,-0.002123,-0.002441,-0.00885,0
0.001,-0.002436,0.003052,-0.039825,0
0.00105,-0.002545,0.006714,-0.02121,0
0.0011,-0.002211,0.00061,0.007324,0
0.00115,-0.001772,-0.004272,-0.009308,0
0.0012,-0.001002,0.004272,0.009613,0
0.00125,-0.00012,-0.010376,-0.003967,0
0.0013,0.000102,0.004883,-0.001526,0
0.00135,0.000115,-0.006714,0.000153,0
0.0014,0.000314,-0.001221,0.001526,0
0.00145,0.00049,-0.002441,-0.014801,0
0.0015,0.000524,0.003052,-0.017853,0
0.00155,0.000424,-0.002441,-0.019073,0
0.0016,0.000332,0.00061,-0.016327,0
0.00165,0.001012,0.015869,-0.016479,0
0.0017,0.001573,-0.003662,-0.009918,0
0.00175,0.001322,0.00061,-0.018768,0
0.0018,0.001209,0.008545,-0.018158,0
0.00185,0.000549,-0.007935,-0.008698,0
0.0019,-0.000382,0.012817,-0.011292,0
0.00195,-0.000785,0.010986,-0.008698,0
0.002,-0.00091,-0.005493,-0.006866,0
0.00205,-0.000915,0.012207,-0.003815,0
0.0021,-0.000438,0.003052,-0.013885,0
0.00215,0.000909,0.012817,-0.001221,0
0.0022,0.001596,-0.003662,-0.014496,0
0.00225,0.001122,0.008545,-0.019226,0
0.0023,0.000577,0.004272,-0.007019,0
0.00235,-0.000057,-0.007324,-0.010223,0
0.0024,-0.000481,0.003662,-0.033417,0
0.00245,-0.000364,0.003052,-0.007935,0
0.0025,-0.000528,-0.003662,0.005798,0
0.00255,-0.000945,0.004883,-0.005951,0
0.0026,-0.000598,-0.001831,-0.024414,0
0.00265,-0.000526,0.004883,-0.026245,0
0.0027,-0.001715,0.002441,-0.015869,0
0.00275,-0.002638,-0.005493,-0.019989,0
0.0028,-0.002821,-0.001221,-0.009003,0
0.00285,-0.002871,0.008545,0.015259,0
0.0029,-0.002531,0.006104,-0.050201,0
0.00295,-0.002039,-0.012817,-0.034485,0
0.003,-0.002219,0.010986,0.002899,0
0.00305,-0.002487,-0.002441,-0.023041,0
0.0031,-0.001689,-0.001831,0.033569,0
0.00315,-0.000669,-0.003662,-0.005188,0
0.0032,-0.000414,0.001221,0.014038,0
0.00325,-0.000364,0.007324,0.022125,0
0.0033,-0.000112,-0.003052,-0.025482,0
0.00335,-0.000269,0.005493,-0.032501,0
0.0034,-0.000389,0.009766,0.001373,0
0.00345,0.000038,-0.001221,-0.016937,0
0.0035,-0.00016,0.006714,-0.014954,0
0.00355,-0.00111,-0.003052,-0.017853,0
0.0036,-0.001759,0.001221,-0.004425,0
0.00365,-0.001294,0,-0.013885,0
0.0037,-0.000365,0.006714,-0.028229,0
