t [s],u [deg],y [deg],i [A]
0.000000,0.000076,-0.001831,-0.008392
0.000050,0.000078,0.000610,-0.005493
0.000100,-0.000080,-0.003662,-0.019684
0.000150,-0.000267,-0.001831,0.008240
0.000200,-0.000134,0.006104,-0.010681
0.000250,0.000179,0.003052,-0.002289
0.000300,0.000331,0.003662,-0.010376
0.000350,0.000418,-0.007935,-0.001068
0.000400,0.000898,-0.009155,-0.007935
0.000450,0.001735,0.002441,-0.016174
0.000500,0.002038,0.015259,-0.011292
0.000550,0.001878,0.003662,0.007172
0.000600,0.001489,0.014038,-0.007324
0.000650,0.000298,0.001831,-0.008087
0.000700,-0.001018,-0.006714,-0.024567
0.000750,-0.001739,0.006104,-0.022278
0.000800,-0.001773,0.012207,-0.001221
0.000850,-0.001334,-0.015259,-0.013275
0.000900,-0.000560,0.007935,-0.006561
0.000950,0.000268,0.006714,-0.000610
0.001000,0.000600,0.010986,0.000458
0.001050,0.000891,0.004883,-0.023193
0.001100,0.000906,0.000610,-0.023346
0.001150,0.000517,0.003052,-0.014038
0.001200,0.000171,0.000000,-0.012360
0.001250,0.000140,0.002441,-0.022278
0.001300,0.000405,-0.004883,-0.008850
0.001350,0.000320,-0.001831,0.009308
0.001400,0.000155,-0.007324,0.001984
0.001450,0.000494,0.001831,-0.021515
0.001500,0.001484,0.000000,0.003052
0.001550,0.002347,0.001831,-0.004578
0.001600,0.001981,-0.012817,0.009766
0.001650,0.000979,-0.009155,-0.017700
0.001700,0.000110,0.000000,-0.015106
0.001750,-0.000333,0.010376,-0.015106
0.001800,-0.000088,0.004883,-0.019989
0.001850,0.000445,0.001831,-0.031891
0.001900,0.000778,0.010986,-0.001221
0.001950,0.001042,0.003052,0.000458
0.002000,0.001311,-0.001221,0.022583
0.002050,0.000955,0.003662,-0.009003
0.002100,0.000199,0.003052,-0.007019
0.002150,-0.000359,0.009155,0.003662
0.002200,-0.000263,0.017700,-0.015717
0.002250,0.000610,0.007324,-0.005493
0.002300,0.001293,-0.008545,-0.005798
0.002350,0.001730,-0.006104,-0.017090
0.002400,0.002508,0.003052,-0.004272
0.002450,0.002762,0.012207,-0.015259
0.002500,0.002418,-0.006714,-0.019226
0.002550,0.002313,0.007935,0.003662
0.002600,0.001709,0.005493,-0.017853
0.002650,0.000509,-0.001831,0.019684
0.002700,-0.000553,0.002441,-0.038757
0.002750,-0.001076,0.011597,-0.017242
0.002800,-0.000829,-0.003662,-0.021210
0.002850,-0.000338,0.002441,-0.013580
0.002900,-0.000564,-0.002441,-0.026398
0.002950,-0.001429,-0.009155,0.013580
0.003000,-0.002007,-0.004883,0.004120
0.003050,-0.002010,0.000610,-0.019989
0.003100,-0.001789,0.007324,-0.021057
0.003150,-0.001462,-0.000610,-0.002747
0.003200,-0.000752,0.007324,0.022736
0.003250,0.000063,0.015869,-0.033569
0.003300,0.000045,0.006714,0.002136
0.003350,-0.000774,0.007324,-0.011902
0.003400,-0.000611,0.010376,0.003967
0.003450,0.000308,0.009766,-0.039215
0.003500,0.000290,0.008545,-0.010223
0.003550,0.000040,-0.001831,-0.004883
0.003600,-0.000193,-0.009155,-0.021515
0.003650,-0.000559,-0.012817,0.016785
0.003700,-0.000592,0.000610,-0.000305
0.003750,-0.000392,-0.004272,-0.037079
0.003800,0.000228,0.008545,-0.021820
0.003850,0.000456,0.012207,-0.011139
0.003900,0.000040,0.009155,-0.037689
0.003950,0.000242,-0.005493,0.029755
0.004000,0.000954,0.010986,-0.002594
0.004050,0.001221,0.000000,0.015106
0.004100,0.001059,0.004272,0.010986
0.004150,0.001139,0.004272,-0.005798
0.004200,0.001087,-0.001831,0.007629
0.004250,0.000372,0.011597,-0.046082
0.004300,-0.000341,0.014648,-0.055695
0.004350,-0.000319,-0.003052,0.020142
0.004400,-0.000158,0.008545,-0.006561
0.004450,-0.000922,0.003662,-0.006866
0.004500,-0.001561,-0.003052,0.008392
0.004550,-0.001658,0.000000,-0.018311
0.004600,-0.001709,-0.004272,0.025177
0.004650,-0.001504,0.007324,-0.035553
0.004700,-0.001336,-0.001831,-0.011444
0.004750,-0.000702,0.017090,-0.043488
0.004800,0.000625,-0.003052,-0.003357
0.004850,0.001113,0.004883,-0.017242
0.004900,0.000340,0.018921,-0.018005
0.004950,-0.000630,-0.004883,0.021667
0.005000,-0.001093,-0.006714,0.001526
0.005050,-0.000807,0.005493,-0.026703
0.005100,-0.000292,0.003662,-0.057373
0.005150,0.000098,0.001831,0.004120
0.005200,0.000500,0.001831,0.007782
0.005250,0.001334,0.008545,-0.000610
0.005300,0.001894,0.007935,-0.043335
0.005350,0.001559,0.001831,-0.006256
0.005400,0.000937,0.010986,-0.017548
0.005450,0.000564,0.008545,-0.013123
0.005500,0.001088,0.000610,-0.005951
0.005550,0.001302,-0.002441,0.012665
0.005600,-0.000104,-0.005493,-0.004120
0.005650,-0.002697,0.013428,-0.019531
0.005700,-0.006585,0.004883,-0.017090
0.005750,-0.011783,0.004272,-0.006866
0.005800,-0.017600,0.010986,-0.023651
0.005850,-0.024734,0.008545,-0.021057
0.005900,-0.033923,0.007935,-0.035553
0.005950,-0.043169,-0.005493,-0.038147
0.006000,-0.050654,0.001831,-0.028687
0.006050,-0.056581,-0.016479,-0.013275
0.006100,-0.060235,-0.020142,-0.017242
0.006150,-0.059912,-0.034790,-0.012512
0.006200,-0.054063,-0.036011,-0.023499
0.006250,-0.040869,-0.046387,-0.000763
0.006300,-0.019036,-0.053101,0.056305
0.006350,0.013279,-0.057373,0.066071
0.006400,0.057561,-0.037842,0.090027
0.006450,0.113523,-0.036011,0.127563
0.006500,0.181518,-0.012207,0.143585
0.006550,0.261152,-0.002441,0.163727
0.006600,0.349051,0.034180,0.189056
0.006650,0.442005,0.064697,0.191040
0.006700,0.538031,0.136719,0.171967
0.006750,0.633402,0.196533,0.138245
0.006800,0.723473,0.274658,0.103607
0.006850,0.805179,0.371094,0.073242
0.006900,0.874757,0.439453,0.016632
0.006950,0.927966,0.530396,-0.038300
0.007000,0.963124,0.626221,-0.103912
0.007050,0.978781,0.706177,-0.149536
0.007100,0.973097,0.783081,-0.217438
0.007150,0.945928,0.847168,-0.272369
0.007200,0.899504,0.892944,-0.305481
0.007250,0.836984,0.925903,-0.318756
0.007300,0.760601,0.940552,-0.342712
0.007350,0.673731,0.928955,-0.309906
0.007400,0.581375,0.902100,-0.284576
0.007450,0.486675,0.871582,-0.243683
0.007500,0.392552,0.800171,-0.187988
0.007550,0.302985,0.725098,-0.142059
0.007600,0.220622,0.648804,-0.084686
0.007650,0.148638,0.550537,-0.024261
0.007700,0.088415,0.479736,0.044098
0.007750,0.038484,0.368652,0.083008
0.007800,-0.000872,0.302734,0.122375
0.007850,-0.029000,0.219116,0.137787
0.007900,-0.047171,0.146484,0.137329
0.007950,-0.057157,0.085449,0.157776
0.008000,-0.060947,0.055542,0.149536
0.008050,-0.060496,-0.001831,0.139771
0.008100,-0.056702,-0.022583,0.122223
0.008150,-0.050462,-0.039673,0.089417
0.008200,-0.042919,-0.039062,0.063324
0.008250,-0.034961,-0.046387,0.039215
0.008300,-0.027640,-0.048828,0.019684
0.008350,-0.021325,-0.039062,0.001221
0.008400,-0.015978,-0.039062,-0.002899
0.008450,-0.011903,-0.029297,-0.015717
0.008500,-0.008779,-0.015869,-0.038300
0.008550,-0.006275,-0.010986,-0.027771
0.008600,-0.004491,-0.023193,-0.030365
0.008650,-0.003549,-0.010986,-0.008850
0.008700,-0.003322,-0.012207,-0.020142
0.008750,-0.003210,-0.006104,-0.026245
0.008800,-0.002514,-0.004272,-0.018463
0.008850,-0.001452,0.002441,-0.012054
0.008900,-0.000998,-0.002441,-0.008545
0.008950,-0.001613,-0.003052,-0.005341
0.009000,-0.002913,0.001221,-0.014801
0.009050,-0.003728,-0.004272,-0.017395
0.009100,-0.003554,-0.004272,-0.006866
0.009150,-0.003066,0.004883,-0.020142
