t [s],u [deg],y [deg],i [A]
0.000000,-0.000754,-0.000610,-0.006409
0.000050,-0.001586,0.000000,-0.002136
0.000100,-0.001847,-0.005493,-0.037689
0.000150,-0.001414,-0.004272,-0.024261
0.000200,-0.000218,-0.000610,-0.023346
0.000250,0.001099,-0.004883,-0.036774
0.000300,0.001598,0.000610,-0.000153
0.000350,0.001666,-0.006714,-0.015869
0.000400,0.001707,0.001221,-0.033264
0.000450,0.001940,-0.009155,-0.032349
0.000500,0.002372,0.008545,-0.000305
0.000550,0.002792,0.004272,-0.003357
0.000600,0.002834,0.001831,-0.002594
0.000650,0.001955,0.000000,-0.027771
0.000700,0.001190,0.023193,-0.027618
0.000750,0.001125,0.010986,-0.045929
0.000800,0.000781,-0.005493,0.023956
0.000850,0.000495,-0.001831,0.003662
0.000900,0.000460,0.004272,-0.013428
0.000950,-0.000174,-0.001221,-0.011597
0.001000,-0.001100,-0.003662,-0.002747
0.001050,-0.000727,0.003662,-0.030365
0.001100,0.000823,0.010376,-0.003510
0.001150,0.001637,0.004272,-0.009308
0.001200,0.001771,-0.006714,0.029144
0.001250,0.001961,-0.004883,0.029297
0.001300,0.001838,0.001221,-0.018158
0.001350,0.001416,-0.003662,-0.016632
0.001400,0.000490,0.009155,-0.026398
0.001450,-0.000994,0.006104,-0.013275
0.001500,-0.001530,0.003662,-0.015259
0.001550,-0.000410,0.007324,-0.006561
0.001600,0.000944,0.010376,-0.019684
0.001650,0.001101,0.012817,0.000610
0.001700,0.000221,-0.004883,-0.018158
0.001750,-0.000531,0.004272,0.014496
0.001800,-0.000849,0.001831,-0.006866
0.001850,-0.001285,0.001831,0.002289
0.001900,-0.001538,-0.003052,-0.021820
0.001950,-0.002042,-0.002441,-0.013885
0.002000,-0.002675,0.008545,0.009155
0.002050,-0.002027,-0.000610,-0.056458
0.002100,-0.001013,-0.009155,0.017700
0.002150,-0.000729,-0.009155,-0.000153
0.002200,-0.000320,-0.003052,-0.018616
0.002250,0.000605,-0.017090,-0.009308
0.002300,0.001021,-0.014648,0.005798
0.002350,0.000625,0.012817,-0.036926
0.002400,0.000597,0.000000,-0.005646
0.002450,0.001419,0.015259,-0.012054
0.002500,0.001824,-0.003052,-0.012817
0.002550,0.001565,-0.007324,-0.012207
0.002600,0.001272,0.006714,-0.002136
0.002650,0.001022,-0.001831,-0.010376
0.002700,0.001264,-0.002441,-0.018311
0.002750,0.001579,0.000000,-0.014038
0.002800,0.001571,0.017090,-0.019989
0.002850,0.001581,0.000000,-0.015106
0.002900,0.001247,0.007935,0.002747
0.002950,0.000939,0.012817,0.015869
0.003000,0.001374,0.006104,-0.018311
0.003050,0.001709,0.006714,-0.028992
0.003100,0.001456,0.006104,-0.014801
0.003150,0.001060,0.013428,-0.023193
0.003200,0.000504,0.012817,-0.011902
0.003250,-0.000204,-0.006714,-0.023346
0.003300,-0.000257,-0.001831,-0.027008
0.003350,0.000744,0.004883,-0.014801
0.003400,0.001647,0.013428,0.001373
0.003450,0.001698,0.007324,-0.003052
0.003500,0.001256,0.011597,-0.012360
0.003550,0.001138,0.002441,0.012817
0.003600,0.001476,0.003052,-0.038910
0.003650,0.001659,0.001221,-0.016632
0.003700,0.001466,0.015869,-0.019073
0.003750,0.000953,0.003662,-0.003967
0.003800,0.001018,0.011597,0.004730
0.003850,0.001219,-0.004883,-0.008850
0.003900,0.000551,0.003662,-0.016479
0.003950,0.000099,0.010986,-0.027771
0.004000,-0.000089,0.006104,-0.025024
0.004050,-0.000286,0.010376,-0.020294
0.004100,0.000026,0.003052,-0.017395
0.004150,0.000078,0.005493,-0.021820
0.004200,-0.000219,-0.006714,-0.024261
0.004250,-0.000515,0.001831,-0.022125
0.004300,-0.001000,0.004883,-0.009766
0.004350,-0.001190,0.005493,0.012360
0.004400,-0.000803,-0.010376,0.010529
0.004450,-0.000126,0.004883,-0.021667
0.004500,0.000802,0.003662,-0.012054
0.004550,0.001350,-0.001221,-0.012817
0.004600,0.001172,-0.006714,-0.012665
0.004650,0.001188,0.000610,-0.007324
0.004700,0.001474,0.000000,-0.027618
0.004750,0.001658,0.001831,-0.023651
0.004800,0.001806,0.009155,-0.013580
0.004850,0.001947,0.011597,-0.024414
0.004900,0.001446,0.002441,-0.013733
0.004950,0.000395,-0.003052,-0.011902
0.005000,-0.000605,0.009155,-0.004272
0.005050,-0.001353,-0.007935,-0.031586
0.005100,-0.000897,0.001221,-0.013123
0.005150,-0.000133,-0.007324,0.000305
0.005200,-0.000319,-0.002441,-0.001373
0.005250,-0.000514,0.001831,-0.015106
0.005300,-0.000178,-0.003662,-0.019379
0.005350,0.000289,-0.004272,-0.020142
0.005400,0.000726,0.007935,-0.013580
0.005450,0.001290,-0.003662,-0.014038
0.005500,0.001450,-0.004883,-0.015411
0.005550,0.001302,0.004883,-0.027008
0.005600,0.001579,0.000000,-0.012817
0.005650,0.002444,0.003662,-0.026550
0.005700,0.004051,0.013428,-0.014801
0.005750,0.006336,0.004272,-0.009155
0.005800,0.009928,-0.006104,-0.014954
0.005850,0.014030,0.003052,-0.012207
0.005900,0.016545,0.007935,0.008850
0.005950,0.016474,0.005493,-0.017242
0.006000,0.012927,0.016479,-0.019379
0.006050,0.005794,0.015869,-0.024414
0.006100,-0.005082,0.014038,-0.052795
0.006150,-0.019570,0.021973,-0.059204
0.006200,-0.036742,0.013428,-0.064697
0.006250,-0.056590,0.012207,-0.067139
0.006300,-0.076689,-0.007935,-0.057220
0.006350,-0.091286,-0.019531,-0.061798
0.006400,-0.095998,-0.020142,-0.046692
0.006450,-0.087595,-0.031738,0.007324
0.006500,-0.061364,-0.055542,0.041656
0.006550,-0.013460,-0.083618,0.128632
0.006600,0.056828,-0.074463,0.173035
0.006650,0.149113,-0.076904,0.229187
0.006700,0.261059,-0.062866,0.304565
0.006750,0.386808,-0.035400,0.319672
0.006800,0.518005,0.015259,0.303040
0.006850,0.645164,0.095825,0.308380
0.006900,0.759036,0.182495,0.219269
0.006950,0.850913,0.285645,0.149384
0.007000,0.913446,0.386963,0.021667
0.007050,0.941121,0.530396,-0.112457
0.007100,0.930800,0.637817,-0.244293
0.007150,0.883859,0.732422,-0.373535
0.007200,0.805509,0.803223,-0.480042
0.007250,0.701806,0.847778,-0.545959
0.007300,0.580933,0.886230,-0.559082
0.007350,0.453057,0.866699,-0.503387
0.007400,0.326971,0.817261,-0.416412
0.007450,0.210533,0.752563,-0.325317
0.007500,0.110681,0.649414,-0.171814
0.007550,0.031382,0.542603,-0.067596
0.007600,-0.026099,0.422363,0.069733
0.007650,-0.063022,0.306396,0.187836
0.007700,-0.082022,0.199585,0.255432
0.007750,-0.086109,0.106201,0.291138
0.007800,-0.079662,0.043945,0.292511
0.007850,-0.067562,-0.022583,0.271912
0.007900,-0.052480,-0.043945,0.232697
0.007950,-0.036290,-0.067139,0.154877
0.008000,-0.021998,-0.061035,0.098724
0.008050,-0.010647,-0.068359,0.042725
0.008100,-0.002325,-0.044556,0.004578
0.008150,0.002419,-0.041504,-0.028992
0.008200,0.004444,-0.018921,-0.060120
0.008250,0.004853,-0.010376,-0.068054
0.008300,0.003966,-0.003052,-0.072784
0.008350,0.001997,0.001831,-0.064240
0.008400,-0.000031,0.001221,-0.029602
0.008450,-0.001101,0.003052,-0.019073
0.008500,-0.001558,0.008545,-0.044556
0.008550,-0.001619,0.008545,-0.009003
