t [s],u [deg],y [deg],i [A]
0.000000,-0.000088,0.000000,0.017090
0.000050,0.002448,0.008545,0.003357
0.000100,0.003182,0.015869,-0.009460
0.000150,0.003772,-0.000610,0.011749
0.000200,0.003730,0.005493,-0.006409
0.000250,0.002973,-0.002441,-0.018768
0.000300,0.001756,0.016479,-0.013885
0.000350,0.000530,0.007324,0.000305
0.000400,-0.000330,0.007324,-0.023346
0.000450,-0.000619,0.007324,-0.017090
0.000500,-0.000357,0.006714,-0.001221
0.000550,0.000153,0.003662,0.008392
0.000600,0.000429,0.005493,-0.013123
0.000650,0.000105,-0.008545,0.002594
0.000700,-0.000815,0.008545,-0.011292
0.000750,-0.002008,0.006714,0.006714
0.000800,-0.003080,-0.000610,0.002289
0.000850,-0.003730,0.020142,-0.027313
0.000900,-0.003797,0.006104,-0.009155
0.000950,-0.003311,-0.007935,-0.028992
0.001000,-0.002508,0.006104,-0.006714
0.001050,-0.001634,0.004272,-0.006561
0.001100,-0.000769,-0.005493,0.010071
0.001150,0.000110,0.012207,-0.008545
0.001200,0.000953,-0.007324,-0.004272
0.001250,0.001574,-0.006714,-0.014496
0.001300,0.001718,-0.008545,-0.011902
0.001350,0.001181,0.009155,-0.007935
0.001400,-0.000015,0.006714,-0.035858
0.001450,-0.001550,0.000000,-0.011749
0.001500,-0.002990,-0.009766,-0.036163
0.001550,-0.004042,0.004272,-0.020142
0.001600,-0.004636,-0.003052,-0.014191
0.001650,-0.004949,0.011597,-0.014954
0.001700,-0.005378,-0.011597,0.003510
0.001750,-0.006311,0.004272,0.000458
0.001800,-0.007786,-0.009155,-0.022125
0.001850,-0.009379,0.006714,-0.025024
0.001900,-0.010500,0.000000,-0.037231
0.001950,-0.010823,-0.015259,-0.033417
0.002000,-0.010466,-0.010376,-0.012970
0.002050,-0.009797,-0.003662,-0.010223
0.002100,-0.009102,-0.000610,-0.008545
0.002150,-0.008377,-0.017700,0.001831
0.002200,-0.007385,-0.010986,0.000305
0.002250,-0.006003,-0.012207,-0.003357
0.002300,-0.004516,-0.012207,0.001221
0.002350,-0.003476,-0.004272,-0.005493
0.002400,-0.003249,-0.013428,-0.002289
0.002450,-0.003720,-0.001831,-0.022278
0.002500,-0.004427,-0.003052,0.005493
0.002550,-0.004916,-0.006104,-0.019073
0.002600,-0.004988,0.001221,-0.014343
0.002650,-0.004684,-0.003052,-0.028381
0.002700,-0.004161,-0.004883,0.000305
0.002750,-0.003635,0.001221,-0.001068
0.002800,-0.003311,0.020142,-0.006256
0.002850,-0.003231,0.010376,-0.025787
0.002900,-0.003229,-0.009766,0.001068
0.002950,-0.003004,-0.000610,-0.002899
0.003000,-0.002310,0.002441,-0.013428
0.003050,-0.001169,-0.001221,-0.035706
0.003100,0.000147,-0.019531,0.011444
0.003150,0.001387,0.012817,-0.009613
0.003200,0.002507,-0.005493,-0.014954
0.003250,0.003577,0.007935,-0.016479
0.003300,0.004569,0.004883,0.000916
0.003350,0.005322,-0.004272,-0.003204
0.003400,0.005597,0.000610,0.008240
0.003450,0.005155,0.006104,-0.022888
0.003500,0.003910,0.001831,-0.022125
0.003550,0.002126,-0.005493,0.000153
0.003600,0.000419,-0.001221,-0.035858
0.003650,-0.000534,0.004883,-0.034790
0.003700,-0.000397,0.015869,-0.032959
0.003750,0.000614,0.001221,0.018921
0.003800,0.001851,0.015259,-0.005341
0.003850,0.002543,0.001221,0.013428
0.003900,0.002143,0.015259,-0.013428
0.003950,0.000584,-0.007324,-0.007935
0.004000,-0.001702,-0.003662,-0.032654
0.004050,-0.004031,0.005493,-0.023499
0.004100,-0.005803,0.007935,-0.018463
0.004150,-0.006683,-0.001221,-0.009308
0.004200,-0.006611,-0.001221,-0.015259
0.004250,-0.005731,-0.000610,-0.025635
0.004300,-0.004293,0.000000,-0.011749
0.004350,-0.002557,-0.004883,0.012207
0.004400,-0.000766,-0.012817,0.016632
0.004450,0.000841,0.004272,-0.004730
0.004500,0.002064,-0.019531,-0.010986
0.004550,0.002844,0.006104,-0.004120
0.004600,0.003237,-0.003052,-0.011444
0.004650,0.003272,-0.003052,-0.008545
0.004700,0.002927,0.009155,-0.003662
0.004750,0.002242,0.010986,-0.014954
0.004800,0.001392,-0.000610,0.001068
0.004850,0.000691,0.011597,-0.006409
0.004900,0.000520,0.008545,-0.018768
0.004950,0.001089,0.000610,-0.012665
0.005000,0.002181,-0.000610,-0.010681
0.005050,0.003189,0.008545,-0.031586
0.005100,0.003474,-0.000610,0.016479
0.005150,0.002713,0.003662,-0.012817
0.005200,0.001074,0.003052,0.000458
0.005250,-0.000829,0.003052,0.008698
0.005300,-0.002289,-0.015259,-0.016785
0.005350,-0.002976,0.008545,0.008698
0.005400,-0.003079,0.006714,-0.011444
0.005450,-0.003008,0.001831,-0.027771
0.005500,-0.003002,-0.006104,0.011597
0.005550,-0.002939,-0.001221,-0.005035
0.005600,-0.002485,-0.008545,0.000153
0.005650,-0.001434,-0.007935,-0.007782
0.005700,0.000048,-0.003052,0.005035
0.005750,0.001471,-0.017090,0.000305
0.005800,0.002326,-0.003052,-0.016327
0.005850,0.002443,-0.009766,-0.002441
0.005900,0.002109,-0.006714,0.006256
0.005950,0.001821,-0.001831,0.006256
0.006000,0.001897,0.012817,-0.021667
0.006050,0.002245,0.001221,-0.017242
0.006100,0.002374,0.003662,-0.027008
0.006150,0.001725,0.017090,-0.010376
0.006200,0.000107,0.001221,0.000916
0.006250,-0.002157,0.001831,-0.004730
0.006300,-0.004494,0.007935,-0.028076
0.006350,-0.006434,0.000000,-0.017395
0.006400,-0.007720,0.002441,-0.008087
0.006450,-0.008221,0.006104,-0.013428
0.006500,-0.007921,0.002441,-0.001678
0.006550,-0.006971,-0.009766,-0.005341
0.006600,-0.005659,-0.004272,-0.012054
0.006650,-0.004289,-0.014648,-0.001984
0.006700,-0.003079,0.002441,-0.014343
0.006750,-0.002118,-0.005493,0.002441
0.006800,-0.001391,0.000000,-0.000305
0.006850,-0.000835,-0.014038,-0.004578
0.006900,-0.000410,0.016479,-0.023041
0.006950,-0.000079,-0.006104,-0.020294
0.007000,0.000178,-0.006104,-0.010986
0.007050,0.000220,0.004883,-0.008545
0.007100,-0.000219,0.010986,-0.025940
0.007150,-0.001182,0.009766,-0.019836
0.007200,-0.002301,-0.001221,-0.006256
0.007250,-0.003018,0.000000,-0.007477
0.007300,-0.002962,-0.006104,0.010529
0.007350,-0.002064,-0.009766,-0.001831
0.007400,-0.000472,-0.005493,-0.014038
0.007450,0.001495,0.000000,0.005341
0.007500,0.003337,0.010376,-0.002441
0.007550,0.004503,-0.002441,0.002594
0.007600,0.004640,0.014038,0.016022
0.007650,0.003766,0.018921,0.001373
0.007700,0.002236,0.015869,-0.003967
0.007750,0.000488,0.011597,-0.028992
0.007800,-0.001214,0.007935,-0.027313
0.007850,-0.002756,0.000000,-0.017090
0.007900,-0.003998,0.003052,-0.024719
0.007950,-0.004757,0.015259,-0.013580
0.008000,-0.004916,-0.003662,0.010071
0.008050,-0.004483,-0.007935,0.006256
0.008100,-0.003549,-0.006104,-0.024261
0.008150,-0.002247,0.010376,-0.009308
0.008200,-0.000798,-0.000610,0.002747
0.008250,0.000482,-0.006714,0.020142
0.008300,0.001382,0.000000,-0.006104
0.008350,0.001940,0.000000,-0.015717
0.008400,0.002347,0.001221,-0.017700
0.008450,0.002762,-0.001221,-0.006714
0.008500,0.003143,0.003662,-0.011749
0.008550,0.003216,-0.010376,0.001831
0.008600,0.002705,0.014038,-0.004120
0.008650,0.001618,0.001221,-0.024414
0.008700,0.000325,-0.009155,-0.008545
0.008750,-0.000622,0.004272,-0.028076
0.008800,-0.000827,0.003662,-0.010223
0.008850,-0.000328,0.000610,-0.014343
0.008900,0.000405,0.006714,-0.012207
0.008950,0.000787,-0.006714,0.000610
0.009000,0.000526,0.003052,-0.016327
0.009050,-0.000269,0.007324,-0.014191
0.009100,-0.001346,0.000610,-0.004730
0.009150,-0.002567,-0.002441,-0.013123
0.009200,-0.003878,-0.003052,-0.002899
0.009250,-0.005162,0.000000,-0.022278
0.009300,-0.006226,0.002441,-0.007172
0.009350,-0.006923,0.011597,-0.004120
0.009400,-0.007241,0.003662,0.000916
0.009450,-0.007277,0.007324,-0.004730
0.009500,-0.007175,0.000000,-0.009155
0.009550,-0.007049,-0.010986,-0.016785
0.009600,-0.006903,0.001831,-0.012665
0.009650,-0.006645,-0.003052,0.003662
0.009700,-0.006188,0.003662,0.012054
0.009750,-0.005505,-0.006104,0.000916
0.009800,-0.004612,-0.003662,-0.003967
0.009850,-0.003549,-0.006104,-0.015869
0.009900,-0.002403,-0.010376,-0.011749
0.009950,-0.001275,0.001221,-0.026703
0.010000,-0.000256,0.004272,-0.008240
0.010050,0.000509,-0.004883,-0.007935
0.010100,0.000859,-0.003662,-0.008240
0.010150,0.000778,0.000610,-0.019073
0.010200,0.000422,-0.003662,-0.000610
0.010250,-0.000068,-0.003662,-0.007782
0.010300,-0.000709,0.007935,-0.010681
0.010350,-0.001545,0.014648,-0.010376
0.010400,-0.002419,-0.001221,-0.016785
0.010450,-0.002964,0.001221,-0.007172
0.010500,-0.002890,0.005493,-0.016174
0.010550,-0.002262,0.009766,-0.025177
0.010600,-0.001447,-0.009155,0.009613
0.010650,-0.000761,0.012207,-0.005798
