t [s],u [deg],y [deg],i [A]
0.000000,-0.000875,0.014038,-0.021210
0.000050,-0.002125,0.008545,-0.011749
0.000100,-0.002542,-0.005493,-0.006866
0.000150,-0.001943,-0.007324,-0.017700
0.000200,-0.001073,0.001221,0.015717
0.000250,-0.000402,0.000000,0.001678
0.000300,0.000313,-0.001221,-0.004272
0.000350,0.000542,-0.009155,0.006104
0.000400,-0.000120,0.018921,-0.012817
0.000450,-0.000418,-0.009766,-0.015869
0.000500,0.000416,0.006104,-0.032043
0.000550,0.001360,0.012817,-0.034790
0.000600,0.001524,0.005493,-0.007629
0.000650,0.001259,0.001221,-0.018158
0.000700,0.000544,0.004883,0.002594
0.000750,-0.000626,0.005493,-0.024414
0.000800,-0.001227,-0.012817,-0.023346
0.000850,-0.001305,-0.010376,-0.009918
0.000900,-0.001311,-0.003052,-0.015259
0.000950,-0.001006,-0.003662,0.003967
0.001000,-0.001014,0.007324,-0.016022
0.001050,-0.001774,0.003052,-0.030518
0.001100,-0.002052,-0.006104,-0.037537
0.001150,-0.001294,0.010986,-0.032959
0.001200,-0.000532,-0.004272,0.010529
0.001250,-0.000018,0.000610,0.002441
0.001300,0.000290,-0.003662,0.009766
0.001350,0.001007,-0.009766,0.016022
0.001400,0.001954,-0.004883,-0.030823
0.001450,0.001891,0.004272,-0.010223
0.001500,0.000973,0.012817,-0.001984
0.001550,-0.000040,0.004272,0.015411
0.001600,-0.000823,-0.008545,-0.020142
0.001650,-0.001557,0.011597,-0.014191
0.001700,-0.001761,-0.009155,-0.018616
0.001750,-0.001343,0.006104,-0.007935
0.001800,-0.000940,-0.005493,0.009308
0.001850,-0.000416,0.009155,0.001373
0.001900,0.000092,0.002441,0.011902
0.001950,-0.000162,-0.003052,-0.006409
0.002000,-0.000529,0.004272,0.000458
0.002050,-0.000135,0.017090,-0.002136
0.002100,0.000122,0.010376,-0.003204
0.002150,0.000008,-0.001221,-0.027771
0.002200,-0.000350,0.000610,-0.001678
0.002250,-0.001182,-0.005493,-0.001373
0.002300,-0.001804,0.005493,-0.004272
0.002350,-0.001912,-0.009155,-0.013123
0.002400,-0.001477,-0.006104,-0.003967
0.002450,-0.001102,0.007935,-0.012665
