t [s],u [deg],y [deg],i [A]
0.000000,-0.000500,0.003662,-0.016632
0.000050,-0.000900,-0.005493,-0.004883
0.000100,-0.000829,0.000000,-0.013275
0.000150,-0.000646,0.004272,-0.022125
0.000200,-0.000724,-0.004272,-0.012970
0.000250,-0.000991,0.000000,-0.027466
0.000300,-0.000564,-0.004883,-0.006104
0.000350,0.000119,-0.006714,-0.026550
0.000400,0.000230,-0.010986,-0.009308
0.000450,0.000286,0.006104,-0.028687
0.000500,0.000733,0.001221,-0.018005
0.000550,0.000881,0.003662,-0.007324
0.000600,0.000270,0.004272,-0.000916
0.000650,-0.000469,0.010986,-0.015564
0.000700,-0.000992,0.009155,-0.036774
0.000750,-0.001417,0.003662,-0.008240
0.000800,-0.001690,-0.001831,-0.020294
0.000850,-0.001696,-0.011597,-0.001984
0.000900,-0.001288,-0.001831,-0.026703
0.000950,-0.000930,-0.003052,-0.009003
0.001000,-0.001454,0.011597,0.007935
0.001050,-0.002093,0.004883,-0.012360
0.001100,-0.001562,0.003662,-0.015717
0.001150,-0.000199,-0.001831,-0.001831
0.001200,0.000489,0.001831,-0.003204
0.001250,-0.000025,-0.008545,-0.006561
0.001300,-0.000835,0.009155,-0.006409
0.001350,-0.001050,0.000610,0.000458
0.001400,-0.001008,0.014038,-0.015869
0.001450,-0.001290,0.005493,0.001678
0.001500,-0.001506,0.000610,-0.019073
0.001550,-0.001290,-0.015869,-0.012360
0.001600,-0.000657,0.006104,-0.013733
0.001650,-0.000017,-0.002441,-0.014954
0.001700,-0.000222,-0.010986,-0.016174
0.001750,-0.000919,-0.003052,-0.012360
0.001800,-0.000777,-0.004883,-0.013428
0.001850,-0.000093,-0.008545,-0.022583
0.001900,0.000102,0.006714,-0.011902
0.001950,-0.000120,-0.007935,-0.025024
0.002000,-0.000381,0.000610,-0.019989
0.002050,-0.000362,0.003052,-0.001831
0.002100,0.000302,0.005493,-0.009613
0.002150,0.000577,0.003052,-0.003204
0.002200,-0.000291,0.007324,-0.000458
0.002250,-0.001115,0.001221,0.000153
0.002300,-0.001210,0.000000,-0.009155
0.002350,-0.000840,0.010986,-0.011902
0.002400,-0.000113,0.005493,-0.000153
0.002450,0.000122,0.004883,0.008240
0.002500,-0.000435,-0.000610,-0.005951
0.002550,-0.000597,-0.001831,-0.024872
0.002600,-0.000537,0.000000,0.003204
0.002650,-0.000415,-0.007935,-0.009766
0.002700,0.000528,0.004272,-0.010223
0.002750,0.001213,0.002441,-0.022125
0.002800,0.000759,0.002441,-0.014648
0.002850,0.000101,-0.006104,-0.006104
0.002900,-0.000153,-0.000610,-0.006409
0.002950,0.000190,0.002441,-0.001678
0.003000,0.000784,0.005493,-0.030670
0.003050,0.000906,-0.004272,-0.008545
0.003100,0.000377,0.006104,-0.008698
0.003150,-0.000243,0.001221,-0.015411
0.003200,-0.000335,0.004272,0.000305
0.003250,0.000118,0.003662,-0.012054
0.003300,0.000456,0.013428,-0.017700
0.003350,0.000247,0.002441,0.007477
0.003400,-0.000497,0.004883,-0.005341
0.003450,-0.001355,-0.005493,-0.028534
0.003500,-0.001105,0.003052,-0.005035
0.003550,-0.000139,0.006104,-0.014801
0.003600,-0.000071,0.001221,-0.031738
0.003650,-0.000496,0.003052,-0.009460
0.003700,0.000098,-0.004883,-0.029449
0.003750,0.001276,0.006714,-0.002899
0.003800,0.001662,-0.007935,-0.011292
0.003850,0.001449,0.004272,-0.024414
0.003900,0.001309,0.020752,-0.014648
0.003950,0.001003,0.003662,0.004883
0.004000,0.000888,-0.006714,0.003662
0.004050,0.001477,0.000000,-0.023193
0.004100,0.001528,0.006104,-0.006561
0.004150,0.000559,-0.007324,-0.008850
0.004200,0.000217,0.003052,0.007019
0.004250,0.000575,-0.001221,-0.014038
0.004300,0.000211,0.003052,-0.002594
0.004350,-0.000437,-0.000610,-0.018463
0.004400,-0.000789,0.006104,-0.034943
0.004450,-0.001108,0.003052,-0.014343
0.004500,-0.000574,0.002441,0.002289
0.004550,0.000506,0.004272,-0.016022
0.004600,0.001159,0.004272,-0.007019
0.004650,0.001522,-0.010986,-0.016632
0.004700,0.001581,0.002441,0.006714
0.004750,0.001335,0.001221,-0.010681
0.004800,0.000701,0.006714,-0.006561
0.004850,0.000352,0.010986,-0.004730
0.004900,0.000246,0.002441,-0.034485
0.004950,-0.000623,0.000000,-0.013123
0.005000,-0.001299,-0.001221,-0.008240
0.005050,-0.001133,0.001221,-0.010986
0.005100,-0.000552,0.006714,-0.017090
0.005150,0.000031,0.004272,-0.027161
0.005200,-0.000325,0.005493,-0.010376
0.005250,-0.000915,0.010376,-0.009918
0.005300,-0.001391,0.005493,-0.011139
0.005350,-0.002262,-0.000610,-0.006561
0.005400,-0.002455,-0.013428,0.010529
0.005450,-0.001884,0.013428,-0.022125
0.005500,-0.000834,0.007935,-0.035706
0.005550,0.000532,0.000610,-0.025940
0.005600,0.001565,-0.010376,0.021667
0.005650,0.002067,0.004883,-0.031433
0.005700,0.002297,-0.001221,-0.020905
0.005750,0.002061,0.008545,-0.045013
0.005800,0.001254,0.001221,0.013428
0.005850,0.000921,-0.001221,-0.021973
0.005900,0.001006,0.000610,-0.023651
0.005950,0.000868,0.007324,-0.029755
0.006000,0.000296,0.014038,-0.017700
0.006050,-0.000016,-0.003662,-0.028992
0.006100,0.000723,0.001221,0.005188
0.006150,0.001271,0.000000,-0.019989
0.006200,0.000857,-0.000610,0.008240
0.006250,0.000736,0.020142,0.000153
0.006300,0.002258,0.010376,-0.012665
0.006350,0.004323,0.001831,-0.016022
0.006400,0.004220,0.009155,-0.028687
0.006450,0.001756,0.009766,0.009766
0.006500,-0.001455,0.000000,0.001068
0.006550,-0.004950,-0.009155,-0.007172
0.006600,-0.009081,-0.005493,0.005188
0.006650,-0.011537,0.015869,-0.021057
0.006700,-0.004632,0.001221,-0.033264
0.006750,0.019714,-0.004883,0.014648
0.006800,0.064701,0.004272,0.021973
0.006850,0.131825,0.001221,0.108032
0.006900,0.222777,0.003052,0.188751
0.006950,0.327782,0.010986,0.258636
0.007000,0.414133,0.062256,0.293579
0.007050,0.440885,0.085449,0.263062
0.007100,0.390314,0.146484,0.109863
0.007150,0.281123,0.233765,-0.185394
0.007200,0.159561,0.304565,-0.565186
0.007250,0.070341,0.367432,-0.755615
0.007300,0.024877,0.360718,-0.686798
0.007350,0.007193,0.321045,-0.313263
0.007400,0.000228,0.260010,0.039520
0.007450,-0.002075,0.159912,0.233917
0.007500,-0.000235,0.096436,0.324554
0.007550,0.002367,0.043335,0.251923
0.007600,0.001669,0.021362,0.191650
0.007650,-0.001252,0.012207,0.140533
0.007700,-0.002959,-0.005493,0.028839
0.007750,-0.003095,0.004272,-0.011444
0.007800,-0.003066,-0.006104,-0.008698
0.007850,-0.003294,0.000610,-0.014801
0.007900,-0.002659,0.009155,-0.017548
0.007950,-0.001082,-0.004883,-0.014648
0.008000,-0.000478,0.006714,0.007629
0.008050,-0.001131,0.007324,-0.000153
0.008100,-0.001745,0.009155,0.011292
0.008150,-0.001709,-0.005493,0.006256
0.008200,-0.001269,0.001831,-0.036011
0.008250,-0.001226,-0.006104,-0.029755
0.008300,-0.001635,0.009766,-0.005188
0.008350,-0.001732,0.008545,-0.012054
0.008400,-0.001493,-0.005493,0.000000
0.008450,-0.001255,0.001221,-0.015106
0.008500,-0.000489,0.003052,-0.013428
0.008550,0.000489,0.016479,-0.011292
0.008600,0.000973,-0.005493,-0.004425
0.008650,0.001520,0.001221,-0.003357
0.008700,0.001583,0.009155,0.007477
0.008750,0.000688,0.007935,-0.009460
0.008800,-0.000070,-0.001831,-0.006866
0.008850,-0.000467,0.001831,-0.014343
0.008900,-0.000911,0.007324,-0.032043
0.008950,-0.001011,0.001831,-0.014038
0.009000,-0.000833,-0.005493,-0.015106
0.009050,-0.001260,0.010376,-0.005951
0.009100,-0.001922,0.001221,-0.005035
0.009150,-0.002241,0.000000,-0.015869
0.009200,-0.002113,0.004272,-0.021362
0.009250,-0.001216,-0.006104,-0.002899
0.009300,-0.000518,0.009766,-0.008545
0.009350,-0.000231,0.005493,0.002747
0.009400,0.000442,0.005493,-0.007477
0.009450,0.000711,-0.001221,-0.006409
0.009500,0.000555,0.006104,-0.010834
0.009550,0.000479,-0.004272,-0.007324
0.009600,0.000636,0.006714,-0.010223
0.009650,0.001228,0.002441,-0.002899
0.009700,0.000967,-0.007935,-0.005341
0.009750,-0.000539,-0.004272,-0.028076
0.009800,-0.001388,0.001221,0.002289
0.009850,-0.000662,-0.012207,-0.030212
0.009900,-0.000156,-0.003662,-0.008850
0.009950,-0.001042,-0.005493,-0.027161
0.010000,-0.001579,-0.000610,-0.004120
0.010050,-0.001093,-0.013428,-0.021515
0.010100,-0.000934,-0.001221,-0.018921
0.010150,-0.000899,0.002441,0.001984
0.010200,-0.000691,0.009155,-0.008087
0.010250,-0.000273,-0.003662,-0.019226
0.010300,-0.000244,0.004883,-0.017395
0.010350,-0.001342,0.004272,-0.010223
0.010400,-0.002122,0.003662,-0.024872
0.010450,-0.001703,-0.005493,-0.014343
0.010500,-0.000738,-0.001831,-0.020599
0.010550,-0.000271,0.001221,-0.019226
0.010600,-0.000465,-0.013428,0.006714
0.010650,-0.000536,0.016479,-0.008850
0.010700,-0.000285,-0.009766,-0.023041
0.010750,-0.000218,0.001221,-0.007782
0.010800,-0.000273,0.001831,-0.019531
0.010850,-0.000246,-0.001221,-0.020294
0.010900,-0.000491,-0.007935,-0.027618
0.010950,-0.000774,0.001221,-0.002594
0.011000,-0.001053,-0.001221,-0.000610
0.011050,-0.001693,0.002441,-0.021057
0.011100,-0.002585,0.017700,-0.009460
0.011150,-0.003019,0.004883,-0.003204
0.011200,-0.002103,0.007324,-0.001373
0.011250,-0.001150,0.006104,0.019073
0.011300,-0.001129,-0.002441,-0.007172
0.011350,-0.000646,0.009155,0.010681
0.011400,0.000664,0.000610,-0.010376
0.011450,0.001509,0.007935,0.004425
0.011500,0.000928,0.000610,0.007477
0.011550,0.000033,0.000000,-0.028076
0.011600,-0.000160,-0.003052,-0.035858
0.011650,-0.000178,0.003052,-0.019531
0.011700,-0.000156,0.006714,0.006256
0.011750,0.000191,0.000000,0.009460
0.011800,0.000461,0.008545,-0.005493
0.011850,0.000180,0.003052,-0.009460
0.011900,0.000223,0.021362,-0.022430
0.011950,0.000682,-0.001221,0.002594
0.012000,0.000092,0.006104,0.001678
0.012050,-0.000653,0.010376,-0.003815
0.012100,-0.000450,-0.001831,-0.029755
0.012150,-0.000320,-0.003662,-0.028839
0.012200,-0.000666,-0.000610,0.004120
0.012250,-0.000939,0.000000,-0.020447
0.012300,-0.000911,0.007935,-0.016174
0.012350,-0.000746,-0.004883,-0.024719
0.012400,-0.000565,0.011597,0.001984
0.012450,-0.000117,0.002441,-0.010376
0.012500,0.000821,0.001831,0.014801
0.012550,0.001466,0.020142,-0.010834
0.012600,0.001339,-0.005493,-0.028687
0.012650,0.000554,-0.004272,0.002289
0.012700,-0.000025,0.000000,-0.024719
0.012750,-0.000101,0.003052,-0.026398
0.012800,-0.000571,-0.002441,-0.031891
0.012850,-0.001305,-0.001831,-0.000916
0.012900,-0.001964,-0.005493,-0.000458
0.012950,-0.002059,0.001831,-0.021973
0.013000,-0.001466,0.007324,0.006561
0.013050,-0.000716,0.009155,0.006561
0.013100,-0.000177,-0.014038,0.005951
0.013150,-0.000158,0.003052,-0.009155
0.013200,0.000029,-0.006104,-0.004272
0.013250,0.000479,0.007935,-0.000763
0.013300,0.001186,-0.002441,-0.011292
0.013350,0.002156,-0.001831,-0.002289
0.013400,0.002393,-0.014648,0.007172
0.013450,0.001949,0.006714,0.001221
0.013500,0.001218,0.010376,-0.012970
0.013550,0.000822,0.010376,-0.021973
0.013600,0.000518,0.001831,-0.001526
0.013650,-0.000646,-0.012817,0.002594
0.013700,-0.001305,-0.006714,-0.018005
0.013750,-0.000460,-0.004272,-0.022430
0.013800,-0.000177,0.004883,-0.008545
0.013850,-0.000821,0.000000,-0.010223
0.013900,-0.000996,0.000610,-0.026245
0.013950,-0.001184,0.000610,0.000153
0.014000,-0.001401,-0.009766,-0.017853
0.014050,-0.001216,-0.006104,0.011444
0.014100,-0.000549,-0.001831,-0.026703
0.014150,0.000062,0.001831,-0.019073
0.014200,0.000053,-0.002441,0.000458
0.014250,0.000169,-0.001831,-0.010834
0.014300,0.000904,-0.002441,0.007019
0.014350,0.002411,0.007324,-0.019073
0.014400,0.003932,-0.001221,-0.014038
0.014450,0.004188,-0.004272,-0.015106
0.014500,0.003582,0.014648,-0.022583
0.014550,0.002832,-0.004272,-0.045319
0.014600,0.001628,-0.006104,-0.007477
