t [s],u [deg],y [deg],i [A]
0.000000,0.000011,-0.004883,-0.020294
0.000050,-0.000313,-0.007324,-0.015564
0.000100,-0.000286,0.002441,-0.001831
0.000150,-0.000393,0.000610,-0.023499
0.000200,-0.000534,-0.002441,0.003052
0.000250,0.000042,0.005493,-0.013733
0.000300,0.000370,-0.001221,-0.007935
0.000350,0.000023,-0.006104,-0.004883
0.000400,0.000359,0.009766,-0.018616
0.000450,0.001152,-0.003662,-0.008240
0.000500,0.001026,0.000610,-0.007324
0.000550,0.000450,0.004272,-0.007172
0.000600,-0.000370,0.001221,-0.029755
0.000650,-0.001408,0.004272,-0.007477
0.000700,-0.001728,-0.010986,-0.011597
0.000750,-0.001656,-0.003052,-0.020294
0.000800,-0.001209,0.000610,-0.025024
0.000850,-0.000031,0.004883,0.004120
0.000900,0.000729,0.003662,-0.028839
0.000950,0.001133,0.001221,-0.011444
0.001000,0.001373,-0.003052,-0.011292
0.001050,0.000404,-0.007324,-0.016785
0.001100,-0.000195,0.003662,-0.027771
0.001150,0.000443,0.003052,-0.018463
0.001200,0.000805,0.001831,-0.007324
0.001250,0.001198,0.001221,0.008545
0.001300,0.000927,-0.009155,-0.003052
0.001350,-0.000095,0.009155,-0.001678
0.001400,-0.000328,-0.003052,-0.008545
0.001450,-0.000359,-0.004883,-0.017090
0.001500,-0.000332,-0.001221,-0.019531
0.001550,-0.000263,0.003662,-0.017700
0.001600,-0.000500,-0.006714,-0.009918
0.001650,0.000175,0.003662,-0.009766
0.001700,0.001236,0.007935,-0.003204
0.001750,0.001091,-0.005493,-0.016327
0.001800,0.000504,-0.003052,-0.013428
0.001850,0.000111,0.006104,-0.020447
0.001900,-0.000019,0.000000,-0.034943
0.001950,0.000336,-0.001831,-0.029602
0.002000,0.000271,-0.000610,-0.004578
0.002050,-0.000538,-0.001221,-0.007629
0.002100,-0.000671,0.004883,-0.001526
0.002150,-0.000202,-0.002441,-0.003967
0.002200,0.000053,0.009766,-0.024261
0.002250,0.000439,0.002441,-0.002441
0.002300,0.000874,0.009155,-0.007324
0.002350,0.000420,-0.001221,-0.017853
0.002400,-0.000458,0.007935,-0.013428
0.002450,-0.000206,0.006104,-0.028992
0.002500,0.000107,0.007935,-0.015259
0.002550,-0.000587,-0.004272,-0.002899
0.002600,-0.001431,-0.001221,-0.014496
0.002650,-0.001579,0.009155,-0.020142
0.002700,-0.001053,0.003052,0.008698
0.002750,-0.000591,0.012207,-0.001984
0.002800,-0.000168,0.004272,-0.004730
0.002850,0.000938,0.004272,-0.006409
0.002900,0.001717,0.000000,0.023956
0.002950,0.000999,-0.001831,0.000000
0.003000,0.000412,0.005493,-0.013733
0.003050,0.001194,-0.003662,-0.005493
0.003100,0.001846,-0.002441,-0.016327
0.003150,0.001541,0.003052,-0.018463
0.003200,0.000885,0.002441,0.004425
0.003250,0.000500,0.000610,-0.003357
0.003300,0.001083,0.000610,-0.029755
0.003350,0.001339,0.000000,0.000763
0.003400,0.000931,-0.003052,-0.028381
0.003450,0.000877,-0.001221,-0.006561
0.003500,0.000484,-0.005493,-0.015106
0.003550,0.000229,-0.002441,-0.005493
0.003600,0.000656,-0.006714,-0.003204
0.003650,0.000599,0.005493,-0.003662
0.003700,-0.000046,-0.003052,-0.010529
0.003750,-0.000355,0.010376,0.000763
0.003800,-0.000256,0.003662,-0.030975
0.003850,-0.000175,0.002441,-0.039215
0.003900,-0.000126,0.000610,-0.004883
0.003950,0.000145,0.003052,-0.014496
0.004000,0.000317,0.012817,-0.023041
0.004050,-0.000114,-0.010376,-0.019073
0.004100,-0.000381,0.012207,-0.012054
0.004150,-0.000210,0.011597,-0.010376
0.004200,-0.000366,0.001831,-0.024719
0.004250,-0.000908,0.003052,-0.015869
0.004300,-0.001328,-0.007324,-0.001221
0.004350,-0.000927,-0.004272,-0.001984
0.004400,-0.000317,-0.004883,-0.001984
0.004450,-0.000496,-0.003662,-0.016327
0.004500,-0.000820,0.007324,0.016174
0.004550,-0.000565,0.001221,0.024109
0.004600,-0.000019,-0.000610,0.009460
0.004650,0.000530,-0.005493,-0.008850
0.004700,0.000763,0.003052,-0.042572
0.004750,0.000977,0.004883,-0.032501
0.004800,0.001099,-0.001221,-0.020752
0.004850,0.000721,-0.008545,-0.013123
0.004900,0.000675,-0.003662,-0.010681
0.004950,0.001164,-0.000610,-0.009155
0.005000,0.001370,-0.006714,-0.019531
0.005050,0.000626,0.004272,-0.008850
0.005100,-0.000187,-0.003662,0.002441
0.005150,-0.000184,-0.001221,-0.030975
0.005200,0.000095,0.012817,-0.016327
0.005250,-0.000064,-0.010376,-0.003815
0.005300,-0.000600,0.008545,-0.030670
0.005350,-0.000840,0.002441,-0.017242
