t [s],u [deg],y [deg],i [A]
0.000000,-0.001321,-0.004883,-0.013275
0.000050,-0.002188,0.007324,-0.025024
0.000100,-0.001760,-0.004883,0.000458
0.000150,-0.000835,-0.001221,-0.002136
0.000200,-0.000898,0.009155,-0.005493
0.000250,-0.001299,-0.010376,-0.009308
0.000300,-0.001265,-0.004272,-0.007629
0.000350,-0.001170,0.000000,-0.018463
0.000400,-0.000950,0.001221,-0.005493
0.000450,-0.000516,-0.006104,-0.001678
0.000500,0.000415,0.006714,0.012970
0.000550,0.001710,0.010376,-0.009155
0.000600,0.002363,0.005493,-0.005188
0.000650,0.002712,0.010986,-0.000916
0.000700,0.002860,0.000610,0.004730
0.000750,0.002012,0.001221,0.000153
0.000800,0.000882,0.007324,-0.032654
0.000850,0.000102,0.003662,-0.029297
0.000900,-0.000595,-0.000610,0.002289
0.000950,-0.001216,0.011597,-0.008850
0.001000,-0.001208,-0.001221,0.012360
0.001050,-0.000857,-0.006714,-0.013733
0.001100,-0.000850,0.001831,0.021667
0.001150,-0.000390,0.013428,0.001984
0.001200,0.000452,0.003662,-0.005493
0.001250,0.000553,-0.010986,-0.022430
0.001300,0.000273,-0.010376,0.008545
0.001350,0.000540,0.004272,-0.028229
0.001400,0.000870,-0.003052,-0.017395
0.001450,0.000791,-0.002441,-0.016937
0.001500,0.000070,0.004272,-0.040741
0.001550,-0.001414,-0.004883,-0.039062
0.001600,-0.002413,-0.001221,-0.009766
0.001650,-0.002213,-0.003052,-0.016327
0.001700,-0.001647,0.007324,0.004578
0.001750,-0.001228,-0.001831,0.000153
0.001800,-0.000578,-0.004883,-0.014648
0.001850,0.000308,0.009155,0.015106
0.001900,0.000711,0.009155,-0.039520
0.001950,0.000660,0.007935,-0.036316
0.002000,0.001059,-0.003052,0.009003
0.002050,0.001280,0.003052,0.007782
0.002100,0.000638,0.015259,-0.029907
0.002150,-0.000195,0.000610,-0.035858
0.002200,-0.000752,-0.006714,0.008545
0.002250,-0.001112,0.002441,-0.011139
0.002300,-0.001402,-0.008545,0.020142
0.002350,-0.001463,0.000000,0.011444
0.002400,-0.001426,0.011597,-0.019379
0.002450,-0.001485,0.005493,0.016327
0.002500,-0.001596,-0.000610,-0.031281
0.002550,-0.001243,0.008545,-0.039368
0.002600,-0.000877,-0.002441,-0.008698
0.002650,-0.001047,0.003662,-0.022888
0.002700,-0.001060,0.004272,0.011597
0.002750,-0.000853,0.000610,-0.026398
0.002800,-0.000289,-0.012817,0.010834
0.002850,0.000140,-0.009766,-0.003510
0.002900,0.000155,-0.017090,-0.016632
0.002950,0.000168,-0.018311,-0.032043
0.003000,-0.000375,-0.001221,0.001984
0.003050,-0.000977,-0.004272,-0.017395
0.003100,-0.000621,-0.010376,-0.010529
0.003150,0.000319,-0.005493,-0.022430
0.003200,0.000928,0.000610,-0.018768
0.003250,0.001409,-0.004883,-0.010223
0.003300,0.001966,-0.002441,-0.028076
0.003350,0.001958,-0.004272,-0.022430
0.003400,0.001583,0.007324,-0.013733
0.003450,0.001444,-0.000610,-0.036163
0.003500,0.001396,-0.004883,-0.004578
0.003550,0.001367,-0.001831,-0.027313
0.003600,0.001593,0.015869,-0.002289
0.003650,0.001762,-0.001221,-0.003204
0.003700,0.002380,-0.001831,-0.031738
0.003750,0.003386,-0.002441,0.020905
0.003800,0.003420,0.007935,0.004425
0.003850,0.002694,0.018311,-0.014648
0.003900,0.001836,-0.003052,-0.003204
0.003950,0.000570,0.003662,0.015259
0.004000,-0.000688,0.018311,-0.014191
0.004050,-0.001220,0.004272,-0.019989
0.004100,-0.000917,0.000000,-0.011292
0.004150,-0.000190,0.002441,-0.006409
0.004200,0.000450,0.006714,0.002441
0.004250,0.001121,0.018311,-0.018463
0.004300,0.000884,-0.002441,-0.018311
0.004350,-0.000074,0.006714,-0.007477
0.004400,-0.000072,0.002441,-0.004272
0.004450,0.000306,0.006714,-0.015869
0.004500,0.000386,0.003052,-0.016632
0.004550,0.000644,0.014038,0.002136
0.004600,0.000672,0.008545,-0.005951
0.004650,0.000255,-0.001831,-0.036774
0.004700,-0.000087,0.003052,-0.009003
0.004750,-0.000326,-0.004883,-0.015411
0.004800,-0.000291,0.000610,-0.010071
0.004850,0.000175,-0.003052,-0.014954
0.004900,0.000542,0.009766,0.003357
0.004950,0.000494,0.000000,-0.009308
0.005000,0.000689,0.004272,-0.026703
0.005050,0.001011,-0.003052,-0.018463
0.005100,0.000511,0.007935,-0.006714
0.005150,-0.000039,0.007935,-0.001526
0.005200,0.000213,0.004272,-0.025330
0.005250,0.000640,0.006714,-0.024261
0.005300,0.000818,-0.003052,-0.019073
0.005350,0.000539,-0.002441,-0.018768
0.005400,0.000187,0.010986,-0.018311
0.005450,0.000164,0.007324,-0.009918
0.005500,0.000021,0.003662,0.006714
0.005550,0.000154,0.007935,-0.021820
0.005600,0.001042,0.006104,-0.027466
0.005650,0.001723,0.006714,-0.011139
0.005700,0.001890,0.003052,-0.011139
0.005750,0.001543,0.013428,-0.003967
0.005800,0.000909,0.000610,-0.003967
0.005850,0.000937,0.003052,0.010071
0.005900,0.001273,0.008545,-0.018311
0.005950,0.001438,0.004272,-0.003662
0.006000,0.001282,0.007324,-0.016479
0.006050,0.000848,-0.003662,0.008392
0.006100,0.000817,0.005493,-0.010834
0.006150,0.001516,0.003052,-0.015411
0.006200,0.002124,-0.000610,-0.025330
0.006250,0.002475,-0.001221,-0.012817
0.006300,0.003579,-0.003662,-0.012360
0.006350,0.004730,0.006714,-0.016479
0.006400,0.003859,-0.003052,0.001068
0.006450,0.001054,0.001221,0.004730
0.006500,-0.001894,-0.001221,-0.023804
0.006550,-0.005363,0.006714,-0.043945
0.006600,-0.010445,0.017700,-0.004730
0.006650,-0.013172,0.001831,-0.022430
0.006700,-0.005584,-0.003662,-0.007324
0.006750,0.019137,-0.001831,-0.008240
0.006800,0.064609,-0.007324,0.056305
0.006850,0.132062,-0.003052,0.128021
0.006900,0.223052,-0.007935,0.214386
0.006950,0.328735,0.014038,0.263367
0.007000,0.415321,0.053711,0.312195
0.007050,0.441561,0.095825,0.278473
0.007100,0.390839,0.171509,0.086670
0.007150,0.281775,0.242310,-0.220947
0.007200,0.160428,0.316162,-0.569305
0.007250,0.071389,0.360107,-0.760651
0.007300,0.026576,0.372925,-0.679321
0.007350,0.009603,0.322876,-0.292969
0.007400,0.002379,0.241089,0.069427
0.007450,-0.000443,0.169678,0.281677
0.007500,0.001013,0.095215,0.297699
0.007550,0.003111,0.043335,0.242615
0.007600,0.001998,0.009766,0.198364
0.007650,-0.001726,0.012817,0.114288
0.007700,-0.004102,-0.003662,0.057983
0.007750,-0.003842,0.003052,-0.001373
0.007800,-0.003437,0.007324,-0.040894
0.007850,-0.003516,0.007935,-0.000305
0.007900,-0.002564,0.008545,-0.027466
0.007950,-0.000710,-0.003052,-0.014343
0.008000,0.000630,0.004272,-0.024261
0.008050,0.000684,-0.000610,-0.011902
0.008100,-0.000212,0.001221,-0.001373
0.008150,-0.001080,-0.007935,-0.012817
0.008200,-0.001521,0.001831,-0.003967
0.008250,-0.002084,0.006104,-0.038910
0.008300,-0.003109,-0.004883,-0.015106
0.008350,-0.003779,0.004272,-0.013885
0.008400,-0.003353,0.003662,-0.024719
0.008450,-0.002735,0.001831,-0.015259
0.008500,-0.002183,0.007324,-0.004272
0.008550,-0.000854,-0.009155,-0.005035
0.008600,0.000277,0.001221,-0.010376
0.008650,0.000249,-0.004883,-0.018463
0.008700,-0.000035,0.004883,-0.030060
0.008750,-0.000389,-0.007935,-0.024719
0.008800,-0.000564,-0.007935,-0.039215
0.008850,-0.000261,0.000610,-0.033875
0.008900,-0.000377,0.009155,-0.001221
0.008950,-0.000163,0.012817,-0.023956
0.009000,0.000297,0.007324,0.011597
0.009050,0.000112,-0.006104,-0.005188
0.009100,-0.000060,0.007324,-0.003357
0.009150,-0.000082,-0.003052,-0.008545
0.009200,-0.000252,0.007324,-0.015869
0.009250,-0.001054,0.006714,-0.006714
0.009300,-0.001840,-0.006714,-0.005951
0.009350,-0.001596,0.000610,-0.009766
0.009400,-0.001132,0.010986,-0.024261
0.009450,-0.001233,0.007935,-0.022736
0.009500,-0.001401,-0.004272,0.003052
0.009550,-0.000887,0.017090,-0.009308
0.009600,-0.000233,0.009766,-0.008392
0.009650,-0.000312,0.007324,-0.031891
0.009700,-0.000120,-0.003052,0.001221
0.009750,0.000194,-0.009155,0.025635
0.009800,-0.000460,0.010986,-0.021667
0.009850,-0.001275,0.012817,-0.018616
0.009900,-0.001710,-0.001221,-0.022736
0.009950,-0.001990,-0.001831,-0.023041
0.010000,-0.002067,0.000610,0.006561
0.010050,-0.001670,0.001831,-0.022583
0.010100,-0.001010,0.003052,0.006104
0.010150,-0.000730,-0.004272,-0.000458
0.010200,-0.000382,-0.003052,-0.005341
0.010250,0.000241,0.004272,-0.012054
0.010300,0.000373,-0.007324,0.004883
0.010350,0.000284,-0.003662,-0.033112
0.010400,0.000418,0.014038,-0.026855
0.010450,0.000439,0.001831,-0.007477
0.010500,0.000353,0.010986,0.009918
0.010550,0.000403,0.019531,-0.028534
0.010600,0.000712,0.005493,0.017090
0.010650,0.000762,0.008545,0.012054
0.010700,0.000596,0.000610,-0.003967
0.010750,0.000380,0.012207,0.001984
0.010800,0.000054,0.009766,-0.000916
0.010850,0.000868,0.000610,-0.002441
0.010900,0.001389,-0.006714,-0.004578
0.010950,0.000321,0.007324,-0.023651
0.011000,-0.000622,0.014038,-0.007324
0.011050,-0.001251,0.013428,-0.013885
0.011100,-0.001545,0.013428,-0.004730
0.011150,-0.001344,0.016479,-0.009308
0.011200,-0.000963,-0.015259,0.022125
0.011250,-0.000631,-0.010376,0.003052
0.011300,-0.000581,0.004272,0.000763
0.011350,-0.000427,0.004883,-0.030212
