t [s],u [deg],y [deg],i [A]
0.000000,-0.000023,0.006714,0.001068
0.000050,0.000602,0.003662,-0.027618
0.000100,0.000774,-0.006104,0.000000
0.000150,0.000268,0.015259,-0.007782
0.000200,-0.000134,0.008545,-0.008545
0.000250,0.000012,-0.003052,-0.016327
0.000300,0.000301,-0.012817,-0.007172
0.000350,0.000234,0.001221,-0.010834
0.000400,0.000236,0.005493,-0.005646
0.000450,0.000307,-0.000610,0.007935
0.000500,0.000375,0.006104,-0.020905
0.000550,0.000596,-0.009155,-0.003052
0.000600,-0.000111,0.002441,-0.014343
0.000650,-0.001093,0.009766,0.003204
0.000700,-0.000839,-0.006714,-0.025482
0.000750,-0.000249,0.009155,-0.014343
0.000800,-0.000031,0.001831,-0.008240
0.000850,0.000490,-0.003052,-0.025177
0.000900,0.001519,0.003662,-0.001373
0.000950,0.001912,-0.003052,-0.015259
0.001000,0.001497,-0.000610,-0.007172
0.001050,0.000893,0.014648,-0.021667
0.001100,0.000013,0.006714,-0.018005
0.001150,-0.000676,0.007324,-0.028839
0.001200,-0.000864,0.006104,-0.019531
0.001250,-0.000654,0.016479,-0.032043
0.001300,-0.000543,0.001831,-0.017548
0.001350,-0.000725,0.011597,-0.020142
0.001400,-0.000829,-0.009155,-0.016937
0.001450,-0.000514,-0.000610,-0.006561
0.001500,0.000483,-0.004883,-0.000153
0.001550,0.001235,-0.003052,-0.019531
0.001600,0.000720,0.013428,-0.014801
0.001650,-0.000094,0.006714,-0.017395
0.001700,-0.000205,0.009155,-0.018921
0.001750,0.000060,0.014038,-0.012512
0.001800,0.000400,-0.003662,-0.021362
0.001850,0.000257,0.004272,-0.015717
0.001900,-0.000096,0.010986,0.001221
0.001950,-0.000142,0.004272,-0.015259
0.002000,0.000198,0.001221,-0.004425
0.002050,0.001154,0.000000,0.008698
0.002100,0.001748,0.005493,-0.006104
0.002150,0.001593,0.001221,0.000458
0.002200,0.001467,0.004883,0.003204
0.002250,0.001389,0.009155,-0.016022
0.002300,0.000785,-0.000610,-0.027008
0.002350,-0.000120,0.007324,0.001373
0.002400,-0.000452,0.011597,-0.023193
0.002450,-0.000357,-0.009155,-0.004425
0.002500,-0.000609,0.016479,-0.016937
0.002550,-0.001290,-0.006714,0.002136
0.002600,-0.001394,-0.010986,-0.011749
0.002650,-0.000247,-0.005493,-0.001831
0.002700,0.001052,0.000000,-0.013580
0.002750,0.001894,-0.003662,-0.012207
0.002800,0.002012,0.007935,-0.011597
0.002850,0.000877,0.000000,-0.014038
0.002900,0.000120,-0.004883,-0.003357
0.002950,0.000027,0.005493,-0.008545
0.003000,-0.000787,0.008545,-0.006561
0.003050,-0.001428,0.003052,-0.002747
0.003100,-0.000791,0.009766,-0.004425
0.003150,0.000250,0.006104,-0.004425
0.003200,0.000424,0.000610,-0.009918
0.003250,0.000168,-0.001221,-0.016937
0.003300,0.000252,0.009155,-0.016785
0.003350,0.001054,0.005493,0.014191
0.003400,0.002116,-0.001831,-0.003815
0.003450,0.002365,0.003052,-0.009460
0.003500,0.001963,0.007324,-0.017853
0.003550,0.001669,0.000000,-0.000305
0.003600,0.001573,-0.003662,-0.003967
0.003650,0.001292,0.012817,-0.005951
0.003700,0.000680,-0.004272,-0.006714
0.003750,-0.000129,-0.003052,-0.012665
0.003800,-0.000526,0.011597,-0.005798
0.003850,-0.000180,0.001221,-0.005035
0.003900,0.000438,0.009766,-0.007019
0.003950,0.000525,0.002441,0.001221
0.004000,0.000108,0.001831,0.022278
0.004050,-0.000034,0.020752,-0.014801
0.004100,0.000172,0.014038,-0.042725
0.004150,0.000145,0.001221,-0.001221
0.004200,0.000238,0.001831,0.000153
0.004250,0.001120,0.000610,-0.016785
0.004300,0.002062,-0.004883,-0.026245
0.004350,0.002252,-0.010376,0.001373
0.004400,0.001389,0.001221,0.029907
0.004450,0.000227,-0.001221,-0.057068
0.004500,-0.000003,0.007324,-0.025330
0.004550,0.000509,-0.003662,-0.010223
0.004600,0.000814,0.006714,-0.011902
0.004650,0.000648,0.006104,-0.006561
0.004700,0.000492,0.006104,-0.007935
0.004750,0.000424,-0.004272,-0.009918
0.004800,0.000695,-0.006714,-0.031738
0.004850,0.000718,-0.000610,-0.011139
0.004900,0.000033,0.005493,-0.006256
0.004950,-0.000349,0.001221,-0.010834
0.005000,0.000327,0.005493,-0.012512
0.005050,0.001520,0.004272,-0.035400
0.005100,0.001274,0.004272,-0.044556
0.005150,0.000051,0.003052,-0.006714
0.005200,-0.000236,0.015869,-0.008087
0.005250,0.000269,0.002441,-0.001526
0.005300,0.000764,0.000000,0.010376
0.005350,0.001179,0.006714,0.006409
0.005400,0.001792,-0.001831,-0.020905
0.005450,0.001909,0.007935,0.004120
0.005500,0.001110,-0.007324,-0.017700
0.005550,0.000699,0.021973,-0.026398
0.005600,0.001106,0.005493,-0.028381
0.005650,0.001051,-0.003052,-0.010834
0.005700,0.000365,0.012207,-0.035248
0.005750,-0.000064,-0.002441,0.013123
0.005800,0.000270,0.007324,0.002441
0.005850,0.001030,-0.000610,0.010529
0.005900,0.001291,-0.008545,0.025787
0.005950,0.001113,0.009766,-0.016327
0.006000,0.000586,0.001831,-0.028534
0.006050,-0.000167,0.001221,-0.024719
0.006100,-0.000482,-0.003052,-0.024109
0.006150,-0.000433,0.012817,-0.029297
