t [s],u [deg],y [deg],i [A],r (deg)
0.00655,-0.004829,-0.001831,-0.056,0.002638
0.0066,-0.008935,0.010376,-0.006866,0.023903
0.00665,-0.011217,0.004272,-0.018616,0.002989
0.0067,-0.003995,-0.009155,0.020294,-0.033083
0.00675,0.020055,0.006104,-0.00351,-0.013357
0.0068,0.064682,0.005493,0.025024,0.043038
0.00685,0.13178,0.011597,0.098877,0.03061
0.0069,0.223212,0.009766,0.201263,-0.052992
0.00695,0.328916,0.0177,0.276489,-0.058585
0.007,0.4147,0.058594,0.286865,0.062048
0.00705,0.440347,0.094604,0.265503,0.10664
0.0071,0.388847,0.162964,0.084534,-0.069308
0.00715,0.279112,0.245972,-0.279694,-0.20908
0.0072,0.158241,0.317993,-0.583038,0.074009
0.00725,0.070269,0.351562,-0.743561,0.67821
0.0073,0.025884,0.350342,-0.62973,1
0.00735,0.008288,0.305786,-0.326843,0.67821
0.0074,0.00028,0.236816,0.053558,0.074009
0.00745,-0.00285,0.169067,0.292969,-0.20908
0.0075,-0.000988,0.093994,0.318146,-0.069308
0.00755,0.001774,0.036621,0.262909,0.10664
0.0076,0.001412,0.007935,0.188904,0.062048
0.00765,-0.000894,-0.005493,0.133209,-0.058585
0.0077,-0.002408,-0.012817,0.066376,-0.052992
0.00775,-0.003193,-0.00061,-0.011597,0.03061
0.0078,-0.004077,-0.009155,-0.018616,0.043038
0.00785,-0.004815,-0.001831,-0.02182,-0.013357
0.0079,-0.004644,0.00061,-0.019073,-0.033083
0.00795,-0.003315,0.003052,-0.017395,0.002989
0.008,-0.002444,0.008545,-0.013123,0.023903
0.00805,-0.002465,0.007935,-0.009003,0.002638
0.0081,-0.002327,0.003052,-0.002899,-0.016063
0.00815,-0.002043,-0.00061,-0.023956,-0.00503
0.0082,-0.001732,0.002441,-0.004578,0.009873
0.00825,-0.001439,-0.003052,-0.020447,0.005355
0.0083,-0.001718,0.007935,-0.001984,-0.005393
0.00835,-0.002318,0,-0.026398,-0.004498
0.0084,-0.002527,0.003662,-0.036621,0.002672
0.00845,-0.002009,-0.001831,-0.009003,0.003695
0.0085,-0.000944,0.006104,-0.010834,-0.000351
0.00855,-0.000101,0.004883,-0.016479,-0.001775
0.0086,0.000342,-0.001831,0.007019,0.000076
0.00865,0.00043,-0.002441,-0.02182,0.00098
0.0087,0.000446,0.014038,-0.028687,0.000046
0.00875,0.000301,0.004883,-0.025482,-0.000529
0.0088,0.000052,-0.007935,-0.000916,-0.000077
0.00885,0.000451,0.004883,-0.005646,0.000273
0.0089,0.000437,-0.005493,-0.008698,0.000068
0.00895,-0.000256,0.007324,-0.011902,-0.000131
0.009,-0.000792,-0.006104,0.001678,-0.000048
0.00905,-0.001326,0.010376,-0.006256,0.000058
0.0091,-0.00169,0.007935,-0.003662,0.000029
0.00915,-0.001694,-0.011597,-0.001984,-0.000022
0.0092,-0.001489,-0.007324,-0.012665,-0.000015
0.00925,-0.001855,-0.003662,-0.014648,0.000007
0.0093,-0.002464,-0.001831,-0.009613,0.000007
0.00935,-0.002012,-0.007324,-0.018463,-0.000001
0.0094,-0.000986,0.009766,-0.004883,-0.000003
0.00945,-0.000694,0.003052,-0.006561,0
0.0095,-0.000686,0.001221,-0.001373,0.000001
0.00955,-0.000095,-0.010986,-0.00824,0
0.0096,-0.000036,-0.004272,-0.005493,0
0.00965,-0.000866,-0.00061,-0.020142,0
0.0097,-0.001081,-0.006104,-0.013733,0
0.00975,-0.00091,0.005493,-0.011444,0
0.0098,-0.000863,-0.001831,-0.005493,0
0.00985,-0.00023,-0.003052,-0.008087,0
0.0099,0.000153,-0.003052,-0.015411,0
0.00995,-0.000409,0.009766,-0.005188,0
0.01,-0.000268,-0.004272,0.003815,0
0.01005,0.000382,-0.001831,-0.020599,0
0.0101,0.000045,0.003662,-0.015717,0
0.01015,0.000107,-0.003662,-0.027771,0
0.0102,0.000091,0.004272,-0.00946,0
0.01025,-0.000706,0,-0.011444,0
0.0103,-0.000834,-0.001221,-0.025635,0
0.01035,-0.000721,0.004272,0.015259,0
0.0104,-0.000614,-0.00061,-0.017395,0
0.01045,-0.000512,0.003662,-0.001678,0
0.0105,-0.000754,0.00061,-0.030823,0
0.01055,-0.000461,0.007324,-0.021362,0
0.0106,0.000066,-0.008545,0.002899,0
0.01065,0.000038,-0.007324,-0.006104,0
0.0107,0.000322,-0.005493,-0.016174,0
0.01075,0.000583,0.006104,-0.023499,0
0.0108,-0.000084,0.001831,-0.002747,0
0.01085,-0.000604,0.007935,-0.027924,0
0.0109,-0.000484,-0.003662,-0.033264,0
0.01095,-0.000823,-0.00061,-0.015564,0
0.011,-0.001574,0.011597,-0.024719,0
0.01105,-0.002269,0.00061,-0.011902,0
0.0111,-0.003081,0.003052,-0.017395,0
0.01115,-0.003166,-0.002441,-0.00824,0
0.0112,-0.002058,-0.009766,-0.003052,0
0.01125,-0.001083,0.006104,-0.017853,0
0.0113,-0.001235,0.006104,0.015411,0
0.01135,-0.001493,0.001831,-0.005951,0
0.0114,-0.001022,-0.018921,-0.006561,0
0.01145,-0.000361,-0.002441,-0.032043,0
0.0115,0.000357,-0.007324,-0.013428,0
0.01155,0.000907,-0.006714,0.000153,0
0.0116,0.000955,-0.001221,-0.010834,0
0.01165,0.000716,-0.003052,-0.005798,0
0.0117,0.000682,0.003052,-0.010681,0
0.01175,0.000673,-0.001831,-0.019379,0
0.0118,0.00024,-0.005493,-0.016785,0
0.01185,-0.000247,0,-0.011139,0
0.0119,0.000021,-0.004272,0.004883,0
0.01195,0.000749,-0.00061,-0.024414,0
0.012,0.000678,0.002441,-0.032806,0
0.01205,0.000193,0.002441,-0.006561,0
0.0121,-0.000234,0.007324,-0.008087,0
0.01215,-0.000718,0,-0.000458,0
0.0122,-0.001173,-0.008545,-0.009308,0
0.01225,-0.001918,0.009155,-0.0177,0
0.0123,-0.002202,0.007935,-0.02533,0
0.01235,-0.001625,-0.001221,-0.015564,0
0.0124,-0.001201,0.00061,-0.030212,0
0.01245,-0.000593,-0.007324,0.00061,0
0.0125,0.000057,0.004883,0.009003,0
0.01255,-0.000062,0.007935,-0.010071,0
0.0126,-0.000025,0.004883,0.002136,0
0.01265,0.000306,0.012207,-0.010376,0
0.0127,-0.000056,0.006714,-0.002136,0
0.01275,-0.000718,0.001221,0.001221,0
0.0128,-0.000734,0.001221,-0.020599,0
0.01285,-0.00045,0.009155,0.002441,0
0.0129,-0.000277,0.014648,-0.028076,0
0.01295,-0.000455,0.007935,-0.003052,0
0.013,-0.000695,0.003662,-0.009003,0
0.01305,-0.000643,-0.012207,0.007935,0
0.0131,-0.000386,-0.008545,-0.016327,0
0.01315,0.000177,-0.006714,0.002594,0
0.0132,0.000584,0.005493,-0.009613,0
0.01325,0.000707,0.006104,-0.00473,0
0.0133,0.000677,0.007324,-0.022125,0
0.01335,0.00089,-0.003052,0.004578,0
0.0134,0.001431,-0.015869,-0.002289,0
0.01345,0.001938,0.003662,-0.032043,0
0.0135,0.001824,0.002441,-0.031128,0
0.01355,0.000957,0.005493,-0.020142,0
0.0136,-0.000085,0.00061,-0.017548,0
0.01365,-0.001207,-0.004272,0.014648,0
0.0137,-0.001239,0.003662,-0.02182,0
0.01375,-0.000598,-0.004883,0.003815,0
0.0138,-0.00092,-0.010376,0.044861,0
0.01385,-0.001847,0.006714,-0.029144,0
0.0139,-0.00265,0.006714,-0.024261,0
