t [s],u [deg],y [deg],i [A],Finished_late
0.005900,-0.002749,-0.002441,-0.034637,0.000000
0.005950,-0.002490,-0.006714,-0.012817,0.000000
0.006000,-0.001739,-0.003052,-0.000305,0.000000
0.006050,-0.000892,0.013428,-0.018616,0.000000
0.006100,-0.000404,-0.013428,0.008240,0.000000
0.006150,-0.000465,-0.006104,-0.016785,0.000000
0.006200,-0.000899,-0.007935,-0.014038,0.000000
0.006250,-0.001334,-0.003662,-0.012665,0.000000
0.006300,-0.001497,0.006104,-0.014954,0.000000
0.006350,-0.001378,-0.007935,-0.008392,0.000000
0.006400,-0.001178,-0.007935,-0.015259,0.000000
0.006450,-0.001165,0.011597,-0.003052,0.000000
0.006500,-0.001523,-0.007324,-0.004578,0.000000
0.006550,-0.002343,-0.007935,-0.000916,0.000000
0.006600,-0.003697,-0.001221,-0.020905,0.000000
0.006650,-0.005545,-0.001221,-0.023041,0.000000
0.006700,-0.007535,-0.004883,-0.008545,0.000000
0.006750,-0.009027,-0.002441,-0.011139,0.000000
0.006800,-0.009454,-0.007324,0.000610,0.000000
0.006850,-0.008675,0.006104,-0.007172,0.000000
0.006900,-0.007039,0.001831,-0.002747,0.000000
0.006950,-0.005118,-0.005493,-0.017700,0.000000
0.007000,-0.003351,0.006714,-0.001068,0.000000
0.007050,-0.001873,0.014648,0.002594,0.000000
0.007100,-0.000619,-0.014038,0.009308,0.000000
0.007150,0.000395,0.004272,0.002441,0.000000
0.007200,0.000962,-0.004883,-0.001526,0.000000
0.007250,0.000894,0.006714,-0.019226,0.000000
0.007300,0.000257,0.010376,-0.021515,0.000000
0.007350,-0.000645,-0.011597,-0.033112,0.000000
0.007400,-0.001486,0.009766,0.005646,0.000000
0.007450,-0.002112,0.007935,-0.024567,0.000000
0.007500,-0.002488,-0.007935,-0.000610,0.000000
0.007550,-0.002557,0.010986,-0.008087,0.000000
0.007600,-0.002293,-0.001221,-0.002747,0.000000
0.007650,-0.001882,0.003662,-0.022888,0.000000
0.007700,-0.001706,0.001221,0.009766,0.000000
0.007750,-0.002097,0.003052,-0.004578,0.000000
0.007800,-0.003021,0.008545,-0.003510,0.000000
0.007850,-0.003962,0.001221,-0.023499,0.000000
0.007900,-0.004271,-0.002441,-0.021057,0.000000
0.007950,-0.003664,-0.001831,-0.018158,0.000000
0.008000,-0.002362,-0.014648,-0.021667,0.000000
0.008050,-0.000838,0.001831,-0.004730,0.000000
0.008100,0.000524,0.001221,-0.017242,0.000000
0.008150,0.001511,0.016479,-0.001831,0.000000
0.008200,0.001976,0.002441,0.011444,0.000000
0.008250,0.001826,-0.003052,0.006256,0.000000
