t [s],u [deg],y [deg],i [A],Finished_late
0.000000,0.000000,0.015869,-0.018463,0.000000
0.000050,0.000000,0.000000,-0.021362,1.000000
0.000100,0.000000,-0.004883,-0.007324,0.000000
0.000150,0.000000,0.001221,0.001984,0.000000
0.000200,-0.000000,-0.007324,-0.014191,0.000000
0.000250,-0.000001,-0.001221,-0.021667,0.000000
0.000300,-0.000003,0.001831,-0.020905,0.000000
0.000350,-0.000004,0.003662,0.015564,0.000000
0.000400,-0.000004,0.015869,-0.020905,0.000000
0.000450,0.000001,-0.004883,-0.014954,0.000000
0.000500,0.000013,-0.006104,-0.000153,0.000000
0.000550,0.000013,0.003662,-0.011292,0.000000
0.000600,-0.000004,-0.003662,-0.038757,0.000000
0.000650,-0.000016,0.014038,-0.013428,0.000000
0.000700,-0.000014,0.006714,-0.006561,0.000000
0.000750,-0.000007,-0.004883,-0.004730,0.000000
0.000800,0.000002,0.000000,-0.017853,0.000000
0.000850,0.000017,0.018311,-0.010834,0.000000
0.000900,0.000024,-0.004272,-0.015869,0.000000
0.000950,0.000008,-0.000610,-0.006409,0.000000
0.001000,-0.000010,-0.009155,-0.022430,0.000000
0.001050,-0.000004,-0.005493,-0.012054,0.000000
0.001100,0.000011,-0.008545,-0.000763,0.000000
0.001150,0.000021,-0.011597,-0.016174,0.000000
0.001200,0.000027,-0.010986,-0.018158,0.000000
0.001250,0.000024,0.004883,-0.016327,0.000000
0.001300,0.000020,-0.013428,-0.010376,0.000000
0.001350,0.000020,0.012817,-0.003204,0.000000
0.001400,0.000002,0.004272,-0.028229,0.000000
0.001450,-0.000036,0.014648,-0.025940,0.000000
0.001500,-0.000047,-0.011597,-0.016479,0.000000
0.001550,0.000006,-0.001831,-0.020294,0.000000
0.001600,0.000102,0.003052,-0.019226,0.000000
0.001650,0.000179,0.007935,-0.017090,0.000000
0.001700,0.000168,0.009766,-0.020447,0.000000
0.001750,0.000021,-0.006104,-0.005646,0.000000
0.001800,-0.000212,-0.008545,-0.009155,0.000000
0.001850,-0.000344,0.014038,-0.008392,0.000000
0.001900,-0.000205,0.005493,-0.008850,0.000000
0.001950,0.000198,0.004272,-0.010376,0.000000
0.002000,0.000678,0.006714,0.001831,0.000000
0.002050,0.000941,-0.016479,-0.005798,0.000000
0.002100,0.000668,0.006104,-0.009003,0.000000
0.002150,-0.000321,0.009155,-0.006256,0.000000
0.002200,-0.001839,-0.001831,-0.025787,0.000000
0.002250,-0.003290,0.000610,0.002899,0.000000
0.002300,-0.003946,0.014038,-0.030670,0.000000
0.002350,-0.003360,-0.001221,0.003967,0.000000
0.002400,-0.001678,0.003052,0.007629,0.000000
0.002450,0.000364,0.010986,-0.013580,0.000000
0.002500,0.001805,0.005493,0.003662,0.000000
0.002550,0.001959,-0.015259,-0.010071,0.000000
0.002600,0.000799,-0.006104,0.013275,0.000000
0.002650,-0.001040,-0.009155,0.011292,0.000000
0.002700,-0.002643,0.009155,-0.037537,0.000000
0.002750,-0.003313,0.007324,-0.030670,0.000000
0.002800,-0.002926,0.012817,-0.011902,0.000000
0.002850,-0.001977,-0.017090,-0.008392,0.000000
0.002900,-0.001232,-0.003662,0.005035,0.000000
0.002950,-0.001304,0.000610,-0.002441,0.000000
0.003000,-0.002393,-0.002441,-0.009766,0.000000
0.003050,-0.004131,-0.014038,0.008698,0.000000
0.003100,-0.005652,0.011597,-0.004730,0.000000
0.003150,-0.006030,0.000000,-0.015717,0.000000
0.003200,-0.004725,0.008545,-0.008698,0.000000
0.003250,-0.001760,-0.017700,0.006409,0.000000
0.003300,0.002317,-0.001221,0.007782,0.000000
0.003350,0.006578,-0.000610,-0.011444,0.000000
0.003400,0.009962,-0.001221,0.009460,0.000000
0.003450,0.011544,0.007935,0.018005,0.000000
0.003500,0.010804,-0.001221,-0.005798,0.000000
0.003550,0.007888,0.009155,-0.021973,0.000000
0.003600,0.003658,0.001831,-0.021210,0.000000
0.003650,-0.000635,-0.004883,-0.019073,0.000000
0.003700,-0.003847,0.014648,-0.058899,0.000000
0.003750,-0.005299,0.010986,-0.014038,0.000000
0.003800,-0.004997,0.002441,-0.021515,0.000000
0.003850,-0.003604,0.016479,0.007477,0.000000
0.003900,-0.002024,0.006104,-0.007019,0.000000
0.003950,-0.000963,-0.003052,0.010834,0.000000
0.004000,-0.000769,-0.014648,-0.008545,0.000000
