t [s],u [deg],y [deg],i [A],Finished_late
0.005950,-0.017730,-0.007324,0.014954,0.000000
0.006000,-0.030713,0.012817,-0.125122,0.000000
0.006050,-0.009785,0.007324,-0.143738,0.000000
0.006100,0.019807,0.023804,-0.075684,0.000000
0.006150,0.024110,-0.004883,0.079956,0.000000
0.006200,0.002504,-0.010986,0.136108,0.000000
0.006250,-0.015196,-0.001831,0.029602,0.000000
0.006300,-0.009956,0.012207,-0.115509,0.000000
0.006350,0.004295,0.007935,-0.090637,0.000000
0.006400,0.004420,0.010986,0.001221,0.000000
0.006450,-0.009165,-0.004883,0.047455,0.000000
0.006500,-0.015619,-0.004272,-0.002441,0.000000
0.006550,-0.004834,-0.008545,-0.023193,0.000000
0.006600,0.008313,-0.001831,-0.049591,0.000000
0.006650,0.005057,0.001221,0.046234,0.000000
0.006700,-0.011454,-0.003052,0.056610,0.000000
0.006750,-0.020878,-0.004272,-0.012970,0.000000
0.006800,-0.012887,-0.003662,-0.050354,0.000000
0.006850,0.000762,0.001831,-0.069885,0.000000
0.006900,0.003803,-0.010376,0.027008,0.000000
0.006950,-0.003607,-0.012207,0.053253,0.000000
0.007000,-0.008119,-0.017090,0.027771,0.000000
0.007050,-0.002625,-0.009766,-0.047150,0.000000
0.007100,0.005368,-0.001221,-0.025940,0.000000
0.007150,0.004363,0.003052,0.022583,0.000000
0.007200,-0.007510,-0.002441,0.025024,0.000000
0.007250,-0.020253,-0.001831,-0.031128,0.000000
0.007300,-0.020854,-0.003052,-0.061340,0.000000
0.007350,-0.005663,-0.017090,-0.054016,0.000000
0.007400,0.013715,-0.004883,0.003510,0.000000
0.007450,0.020020,-0.008545,0.084229,0.000000
0.007500,0.009646,-0.007935,0.076904,0.000000
0.007550,-0.001757,-0.021973,0.003967,0.000000
0.007600,0.000913,-0.001831,-0.081329,0.000000
0.007650,0.011142,0.004883,-0.095978,0.000000
0.007700,0.009531,0.014038,-0.021820,0.000000
0.007750,-0.007350,0.017700,0.013580,0.000000
0.007800,-0.018903,0.003662,-0.034332,0.000000
0.007850,-0.006517,0.011597,-0.083618,0.000000
0.007900,0.020888,0.005493,-0.038452,0.000000
0.007950,0.035103,0.003052,0.076599,0.000000
0.008000,0.018944,0.001831,0.099792,0.000000
0.008050,-0.017003,-0.004272,0.041962,0.000000
0.008100,-0.044829,0.006714,-0.112152,0.000000
0.008150,-0.041952,0.023193,-0.216064,0.000000
0.008200,-0.007972,0.006104,-0.124512,0.000000
0.008250,0.032800,-0.002441,0.046234,0.000000
0.008300,0.046959,-0.012207,0.197449,0.000000
0.008350,0.020154,-0.027466,0.230865,0.000000
0.008400,-0.025387,-0.018921,-0.005493,0.000000
0.008450,-0.047496,0.015259,-0.183716,0.000000
0.008500,-0.025446,0.023804,-0.260925,0.000000
0.008550,0.016765,0.020752,-0.135651,0.000000
0.008600,0.034739,-0.001831,0.134583,0.000000
0.008650,0.011804,-0.018311,0.220795,0.000000
0.008700,-0.023543,-0.016479,0.075226,0.000000
0.008750,-0.031639,-0.012207,-0.111847,0.000000
0.008800,-0.007092,0.018311,-0.199127,0.000000
0.008850,0.018094,0.009766,-0.106659,0.000000
0.008900,0.015579,-0.012207,0.142975,0.000000
0.008950,-0.006099,-0.020142,0.117645,0.000000
0.009000,-0.016495,-0.012817,-0.005646,0.000000
0.009050,-0.004294,0.001831,-0.097504,0.000000
0.009100,0.010130,0.006104,-0.082397,0.000000
0.009150,0.005260,0.004883,0.018768,0.000000
0.009200,-0.011447,-0.007935,0.051270,0.000000
0.009250,-0.014782,-0.009155,-0.009613,0.000000
0.009300,0.002990,0.000000,-0.086060,0.000000
0.009350,0.021781,-0.006714,-0.050964,0.000000
0.009400,0.020086,0.003662,0.069275,0.000000
0.009450,0.000795,-0.013428,0.063477,0.000000
0.009500,-0.014807,0.000000,-0.005493,0.000000
0.009550,-0.012091,0.009766,-0.125732,0.000000
0.009600,0.003497,0.011597,-0.086365,0.000000
0.009650,0.014281,0.007324,0.017548,0.000000
0.009700,0.008101,0.004272,0.063171,0.000000
0.009750,-0.008476,-0.000610,0.059814,0.000000
0.009800,-0.013933,-0.004272,-0.057831,0.000000
0.009850,0.004717,0.007935,-0.078278,0.000000
0.009900,0.031388,0.004272,-0.050049,0.000000
0.009950,0.034612,0.004272,0.062561,0.000000
0.010000,0.006882,0.003662,0.080872,0.000000
0.010050,-0.022079,-0.007324,-0.014191,0.000000
0.010100,-0.022291,0.005493,-0.155792,0.000000
0.010150,-0.002708,0.010376,-0.138245,0.000000
0.010200,0.003755,0.022583,-0.032349,0.000000
0.010250,-0.011308,-0.000610,0.095062,0.000000
0.010300,-0.020332,-0.006714,0.049133,0.000000
0.010350,-0.001589,-0.006104,-0.041351,0.000000
0.010400,0.026672,-0.001221,-0.014038,0.000000
0.010450,0.027685,0.000000,0.049133,0.000000
0.010500,-0.007179,0.003662,0.084534,0.000000
0.010550,-0.046434,-0.008545,-0.026245,0.000000
0.010600,-0.051253,0.004272,-0.158234,0.000000
0.010650,-0.012751,0.016479,-0.191193,0.000000
0.010700,0.040348,0.006714,-0.033722,0.000000
0.010750,0.064168,-0.015259,0.195770,0.000000
0.010800,0.034465,-0.024414,0.263824,0.000000
0.010850,-0.028984,-0.031128,0.074158,0.000000
0.010900,-0.071901,0.002441,-0.181427,0.000000
0.010950,-0.052225,0.026245,-0.326843,0.000000
0.011000,0.014380,0.022583,-0.197906,0.000000
0.011050,0.063122,-0.001221,0.116425,0.000000
0.011100,0.045223,-0.018311,0.335236,0.000000
0.011150,-0.017548,-0.032959,0.200348,0.000000
0.011200,-0.054966,-0.020142,-0.076752,0.000000
0.011250,-0.027303,0.007935,-0.335541,0.000000
0.011300,0.030060,0.013428,-0.246582,0.000000
0.011350,0.050457,-0.001221,0.104370,0.000000
0.011400,0.015193,-0.010376,0.264893,0.000000
0.011450,-0.028514,-0.012207,0.096741,0.000000
0.011500,-0.029872,-0.001221,-0.160675,0.000000
0.011550,0.004508,0.016479,-0.228424,0.000000
0.011600,0.026400,0.020752,-0.057678,0.000000
0.011650,0.011554,0.007935,0.142975,0.000000
0.011700,-0.013087,-0.017700,0.129547,0.000000
0.011750,-0.011152,-0.000610,-0.038910,0.000000
0.011800,0.014153,-0.009766,-0.129395,0.000000
0.011850,0.027897,0.006104,-0.029144,0.000000
0.011900,0.010835,-0.001831,0.076294,0.000000
0.011950,-0.018594,-0.004272,0.053101,0.000000
0.012000,-0.029815,0.001221,-0.068054,0.000000
0.012050,-0.014169,0.008545,-0.145874,0.000000
0.012100,0.010434,0.010376,-0.073853,0.000000
0.012150,0.019755,0.012817,0.075836,0.000000
0.012200,0.004850,-0.009155,0.145874,0.000000
0.012250,-0.018831,-0.010986,0.045471,0.000000
0.012300,-0.022511,-0.005493,-0.089417,0.000000
0.012350,0.005520,-0.002441,-0.122375,0.000000
0.012400,0.038509,-0.001221,-0.049133,0.000000
0.012450,0.034867,0.001221,0.113525,0.000000
0.012500,-0.009118,-0.007324,0.139771,0.000000
0.012550,-0.046384,-0.003052,-0.057068,0.000000
0.012600,-0.034949,0.012817,-0.197754,0.000000
0.012650,0.006336,0.012207,-0.175934,0.000000
0.012700,0.022257,0.009155,0.046997,0.000000
0.012750,-0.003057,-0.009155,0.186768,0.000000
0.012800,-0.025285,-0.008545,0.088043,0.000000
0.012850,-0.005399,-0.004272,-0.071869,0.000000
