t (s),u (deg),y (deg)
0.007500,0.000000,0.007324,-0.023956
0.007550,0.000000,-0.010376,0.000916
0.007600,0.000000,0.014038,-0.017853
0.007650,0.000000,0.004883,-0.007629
0.007700,0.000000,-0.012817,-0.007477
0.007750,0.000000,0.000000,-0.001373
0.007800,0.000000,-0.009155,-0.005035
0.007850,0.000000,0.004272,-0.003662
0.007900,0.000000,-0.000610,-0.024414
0.007950,0.000000,0.003662,0.008850
0.008000,0.000000,0.003662,-0.021667
0.008050,0.000000,0.014648,-0.021210
0.008100,0.000000,-0.003052,-0.014191
0.008150,0.000000,0.003052,-0.000305
0.008200,0.000000,-0.007324,0.003204
0.008250,0.000000,0.000610,-0.021667
0.008300,0.000000,-0.004883,-0.006561
0.008350,0.000000,-0.007935,0.003662
0.008400,0.000000,0.007324,0.007935
0.008450,0.000000,0.008545,-0.005951
0.008500,0.000000,-0.004883,-0.009766
0.008550,0.000000,0.003662,0.004730
0.008600,0.000000,0.003052,-0.001068
0.008650,0.000000,0.000610,-0.018311
0.008700,0.000000,-0.008545,-0.012054
0.008750,0.000000,0.009766,0.011902
0.008800,0.000000,0.000000,-0.023804
0.008850,0.000000,-0.003052,-0.005035
0.008900,0.000000,0.002441,-0.006256
0.008950,0.000000,0.010376,-0.017090
0.009000,0.000000,0.008545,0.003052
0.009050,0.000000,-0.002441,-0.012360
0.009100,0.000000,-0.007324,-0.027771
0.009150,0.000000,0.000610,-0.025940
0.009200,0.000000,0.003052,-0.027008
0.009250,0.000000,-0.000610,-0.007477
0.009300,0.000000,0.014038,-0.019379
0.009350,0.000000,0.009766,-0.034637
0.009400,0.000000,-0.010376,-0.014801
0.009450,0.000000,0.001221,-0.024109
0.009500,0.000000,-0.003662,-0.000305
0.009550,0.000000,-0.007324,-0.024414
0.009600,0.000000,0.014648,-0.026703
0.009650,0.000000,-0.004272,0.008850
0.009700,0.000000,0.004272,0.009918
0.009750,0.000000,-0.004883,-0.017548
0.009800,0.000000,0.010376,0.000153
0.009850,0.000000,-0.007935,-0.027313
0.009900,0.000000,0.014648,-0.010986
0.009950,0.000000,-0.001221,-0.026550
0.010000,0.000000,-0.010376,-0.027924
0.010050,0.000000,0.008545,-0.014801
0.010100,0.000000,-0.001831,0.001221
0.010150,0.000000,0.006104,-0.032501
0.010200,0.000000,0.004883,-0.013275
0.010250,0.000000,0.003052,-0.003967
0.010300,0.000000,-0.001221,0.009918
0.010350,0.000000,0.012817,-0.016937
0.010400,0.000000,0.010986,-0.033112
0.010450,0.000000,0.004883,-0.005341
0.010500,0.000000,0.007935,-0.013885
0.010550,0.000000,0.003662,0.002899
0.010600,0.000000,0.007324,-0.006409
0.010650,0.000000,0.005493,-0.022888
0.010700,0.000000,0.007935,-0.018005
0.010750,0.000000,0.001831,-0.019989
0.010800,0.000000,-0.004272,0.000000
0.010850,0.000000,-0.004883,-0.004425
0.010900,0.000000,0.000610,-0.025940
0.010950,0.000000,0.009766,0.001831
0.011000,0.000000,0.015259,-0.004883
0.011050,0.000000,-0.005493,-0.003357
0.011100,0.000000,-0.003662,-0.031281
0.011150,0.000000,-0.009155,-0.002747
0.011200,0.000000,-0.003662,-0.017395
0.011250,0.000000,-0.007935,-0.000153
0.011300,0.000000,0.008545,0.001221
0.011350,0.000000,0.018311,0.006256
0.011400,0.000000,0.011597,-0.014038
0.011450,0.000000,-0.011597,0.000000
0.011500,0.000000,-0.000610,-0.006104
0.011550,0.000000,0.020142,-0.030365
0.011600,0.000000,-0.001831,-0.010376
0.011650,0.000000,0.008545,-0.007019
0.011700,0.000000,0.006714,-0.035248
0.011750,0.000000,0.007935,-0.009766
0.011800,0.000000,-0.001221,-0.025482
0.011850,0.000000,0.009766,-0.015717
0.011900,0.000000,0.005493,-0.019073
0.011950,0.000000,-0.004883,0.001373
0.012000,0.000000,-0.009155,0.001221
0.012050,0.000000,-0.004272,-0.008240
0.012100,0.000000,0.003662,-0.023804
0.012150,0.000000,0.002441,-0.028381
0.012200,0.000000,-0.010376,0.000153
0.012250,0.000000,0.009766,0.001068
0.012300,0.000000,0.004272,-0.014954
0.012350,0.000000,-0.001831,-0.006561
0.012400,0.000000,-0.000610,-0.015106
0.012450,0.000000,-0.009155,-0.003967
0.012500,0.000000,0.003052,-0.022430
0.012550,0.000000,0.004272,-0.002289
0.012600,0.000000,-0.002441,0.006866
0.012650,0.000000,-0.007324,-0.012512
0.012700,0.000000,0.003052,-0.013123
0.012750,0.000000,-0.005493,-0.013733
0.012800,0.000000,0.000610,-0.005493
0.012850,0.000000,-0.003052,-0.014343
0.012900,0.000000,0.011597,-0.014648
0.012950,0.000000,0.007935,-0.004272
0.013000,0.000000,-0.003662,-0.000305
0.013050,0.000000,0.004272,0.000916
0.013100,0.000000,-0.003052,-0.012207
0.013150,0.000000,-0.004272,-0.025482
0.013200,0.000000,0.005493,-0.011902
0.013250,0.000000,0.002441,-0.002594
0.013300,0.000000,0.009766,-0.008545
0.013350,0.000000,0.004883,0.003967
0.013400,0.000000,0.000610,-0.009766
0.013450,0.000000,0.001221,-0.003510
0.013500,0.000000,-0.001831,-0.007172
0.013550,0.000000,0.007324,-0.026398
0.013600,0.000000,0.009766,-0.001831
0.013650,0.000000,-0.002441,-0.018158
0.013700,0.000000,0.014648,-0.004883
0.013750,0.000000,-0.001221,-0.000153
0.013800,0.000000,0.000000,-0.041199
0.013850,0.000000,-0.003662,-0.017090
0.013900,0.000000,0.004272,-0.005493
0.013950,0.000000,0.006104,-0.007782
0.014000,0.000000,0.014648,-0.010223
0.014050,0.000000,0.007935,-0.011749
0.014100,0.000000,-0.004272,0.009613
0.014150,0.000000,0.003662,0.000610
0.014200,0.000000,0.003052,-0.013885
0.014250,0.000000,0.003662,-0.018463
0.014300,0.000000,0.010986,0.015259
0.014350,0.000000,0.011597,-0.019379
0.014400,0.000000,0.004272,-0.010071
0.014450,0.000000,-0.003662,-0.011749
0.014500,0.000000,-0.003052,-0.012207
0.014550,0.000000,0.014648,-0.007019
0.014600,0.000000,0.000000,-0.027924
0.014650,0.000000,0.016479,-0.014801
0.014700,0.000000,0.008545,-0.032654
0.014750,0.000000,-0.001221,-0.002136
0.014800,0.000000,-0.003052,-0.011292
0.014850,0.000000,0.000000,-0.022888
0.014900,0.000000,0.001831,-0.005646
0.014950,0.000000,0.006104,-0.003510
0.015000,0.000000,0.012207,-0.039825
0.015050,0.000000,-0.007324,-0.030975
0.015100,0.000000,-0.006714,-0.003357
0.015150,0.000000,0.016479,-0.027008
0.015200,0.000000,-0.006714,-0.022430
0.015250,0.000000,0.003052,-0.021362
0.015300,0.000000,0.007935,-0.028076
0.015350,0.000000,0.001221,-0.006561
0.015400,0.000000,-0.014648,0.009460
0.015450,0.000000,0.002441,-0.003204
0.015500,0.000000,0.011597,-0.004578
0.015550,0.000000,0.003662,-0.004578
0.015600,0.000000,0.002441,0.002441
0.015650,0.000000,0.010986,-0.014038
0.015700,0.000000,0.013428,0.000610
0.015750,0.000000,-0.001221,0.002441
0.015800,0.000000,-0.008545,-0.010681
0.015850,0.000000,-0.018921,0.001221
0.015900,0.000000,0.005493,-0.012360
0.015950,0.000000,0.003052,-0.025482
0.016000,0.000000,0.002441,-0.028839
0.016050,0.000000,-0.002441,0.004578
0.016100,0.000000,0.003662,-0.009766
0.016150,0.000000,0.002441,-0.028076
0.016200,0.000000,-0.009155,-0.004578
0.016250,0.000000,-0.001221,-0.024109
0.016300,0.000000,0.018311,-0.019379
0.016350,0.000000,0.001831,-0.007172
0.016400,0.000000,-0.001831,-0.003052
0.016450,0.000000,0.004272,-0.034790
0.016500,0.000000,0.009766,-0.011444
0.016550,0.000000,-0.012207,-0.015717
0.016600,0.000000,0.014038,-0.001831
0.016650,0.000000,0.003052,-0.007477
0.016700,0.000000,-0.002441,-0.014496
0.016750,0.000000,0.010986,-0.004272
0.016800,0.000000,-0.000610,-0.016632
0.016850,0.000000,-0.003052,-0.022736
0.016900,0.000000,0.003052,-0.012054
0.016950,0.000000,-0.016479,0.008240
0.017000,0.000000,-0.001831,-0.001526
0.017050,0.000000,0.004272,-0.011902
0.017100,0.000000,-0.003662,-0.016785
0.017150,0.000000,-0.007935,0.012512
0.017200,0.000000,0.001831,-0.029449
0.017250,0.000000,0.008545,-0.020599
0.017300,0.000000,0.000000,-0.028229
0.017350,0.000000,-0.007324,-0.009460
0.017400,0.000000,0.003052,-0.005951
0.017450,0.000000,0.002441,-0.011444
0.017500,0.000000,-0.001831,-0.014496
0.017550,0.000000,0.003052,-0.005035
0.017600,0.000000,0.001831,-0.012970
0.017650,0.000000,0.007935,-0.036011
0.017700,0.000000,0.001221,-0.004883
0.017750,0.000000,0.001831,0.006714
0.017800,0.000000,0.003052,-0.004883
0.017850,0.000000,0.000000,-0.017548
0.017900,0.000000,-0.004883,-0.018005
0.017950,0.000000,0.004883,0.000916
0.018000,0.000000,0.000610,-0.002136
0.018050,0.000000,0.021973,-0.014496
0.018100,0.000000,0.010376,-0.008087
0.018150,0.000000,0.003052,-0.002289
0.018200,0.000000,-0.002441,-0.007172
0.018250,0.000000,0.000610,-0.026245
0.018300,0.000000,0.001221,-0.021210
0.018350,0.000000,0.003052,-0.001373
0.018400,0.000000,-0.005493,-0.027618
0.018450,0.000000,-0.005493,-0.010071
0.018500,0.000000,-0.009155,-0.008392
0.018550,0.000000,0.006714,0.000458
0.018600,0.000000,0.002441,-0.018768
0.018650,0.000000,0.001831,-0.009766
0.018700,0.000000,0.000000,0.010376
0.018750,0.000000,0.004272,-0.009613
0.018800,0.000000,-0.001221,-0.013275
0.018850,0.000000,0.002441,-0.006561
0.018900,0.000000,-0.001831,0.003510
0.018950,0.000000,0.000000,-0.004120
0.019000,0.000000,0.010376,-0.008545
0.019050,0.000000,0.004272,0.000916
0.019100,0.000000,0.000610,-0.000458
0.019150,0.000000,0.004883,-0.029602
0.019200,0.000000,0.008545,-0.027161
0.019250,0.000000,0.005493,-0.011444
0.019300,0.000000,0.001831,-0.013275
0.019350,0.000000,0.010986,-0.021667
0.019400,0.000000,0.012207,-0.010071
0.019450,0.000000,-0.001831,-0.015106
0.019500,0.000000,0.003052,-0.001678
0.019550,0.000000,0.001221,-0.008392
0.019600,0.000000,0.001221,-0.023346
0.019650,0.000000,0.003052,-0.014496
0.019700,0.000000,-0.008545,-0.007477
