t [s],u [deg],y [deg],i [A],Finished_late
0.000000,0.000000,-0.002441,-0.014801,0.000000
0.000050,0.000000,-0.006714,-0.011444,1.000000
0.000100,0.000000,-0.013428,-0.020905,0.000000
0.000150,0.000000,0.000000,-0.003662,0.000000
0.000200,-0.000000,0.011597,-0.004425,0.000000
0.000250,-0.000000,-0.001831,-0.007324,0.000000
0.000300,-0.000000,0.013428,-0.020905,0.000000
0.000350,-0.000000,-0.003052,-0.004272,0.000000
0.000400,-0.000000,-0.003052,-0.010986,0.000000
0.000450,0.000000,0.000000,-0.014954,0.000000
0.000500,0.000000,0.007935,-0.003967,0.000000
0.000550,0.000000,-0.009155,-0.035706,0.000000
0.000600,0.000000,0.004272,-0.025482,0.000000
0.000650,-0.000001,0.008545,0.005646,0.000000
0.000700,-0.000001,0.005493,-0.009003,0.000000
0.000750,-0.000001,-0.007935,0.012054,0.000000
0.000800,0.000001,0.009766,-0.030060,0.000000
0.000850,0.000003,-0.004883,-0.021973,0.000000
0.000900,0.000004,0.001221,-0.002289,0.000000
0.000950,0.000001,-0.010986,-0.028687,0.000000
0.001000,-0.000007,-0.010986,0.005951,0.000000
0.001050,-0.000014,0.012817,0.016022,0.000000
0.001100,-0.000010,0.000000,0.003815,0.000000
0.001150,0.000009,0.002441,-0.033264,0.000000
0.001200,0.000033,-0.003052,-0.010529,0.000000
0.001250,0.000041,0.002441,0.003967,0.000000
0.001300,0.000010,-0.001831,-0.026093,0.000000
0.001350,-0.000054,0.017700,-0.011749,0.000000
0.001400,-0.000113,0.004883,-0.048676,0.000000
0.001450,-0.000104,0.004883,-0.044861,0.000000
0.001500,0.000006,0.015259,-0.015106,0.000000
0.001550,0.000177,0.011597,-0.002289,0.000000
0.001600,0.000286,-0.001221,0.005798,0.000000
0.001650,0.000205,-0.002441,-0.004272,0.000000
0.001700,-0.000093,-0.014038,-0.022125,0.000000
0.001750,-0.000456,0.004272,-0.027771,0.000000
0.001800,-0.000605,0.001221,-0.011749,0.000000
0.001850,-0.000316,0.002441,-0.022583,0.000000
0.001900,0.000363,-0.004272,-0.004425,0.000000
0.001950,0.001039,-0.009766,-0.012054,0.000000
0.002000,0.001159,-0.017700,-0.004730,0.000000
0.002050,0.000389,0.005493,0.027924,0.000000
0.002100,-0.001032,0.020752,-0.027313,0.000000
0.002150,-0.002257,0.005493,-0.013123,0.000000
0.002200,-0.002236,0.015259,-0.062561,0.000000
0.002250,-0.000384,0.009766,-0.020447,0.000000
0.002300,0.002879,-0.012817,0.002899,0.000000
0.002350,0.006141,-0.004883,0.021210,0.000000
0.002400,0.007643,-0.009155,-0.017090,0.000000
0.002450,0.006261,0.008545,-0.010071,0.000000
0.002500,0.002255,-0.007935,0.023651,0.000000
0.002550,-0.002720,0.014648,-0.033264,0.000000
0.002600,-0.006407,-0.006714,-0.025330,0.000000
0.002650,-0.007142,-0.003662,-0.016174,0.000000
0.002700,-0.004777,0.018311,-0.027008,0.000000
0.002750,-0.000778,-0.004883,-0.001678,0.000000
0.002800,0.002565,-0.006104,0.033722,0.000000
0.002850,0.003386,-0.015259,0.019684,0.000000
0.002900,0.001259,0.001831,0.021667,0.000000
0.002950,-0.002587,-0.001831,0.004272,0.000000
0.003000,-0.005958,-0.011597,-0.030670,0.000000
0.003050,-0.006905,-0.008545,-0.031586,0.000000
0.003100,-0.004783,0.014648,-0.042725,0.000000
0.003150,-0.000587,0.002441,-0.015106,0.000000
0.003200,0.003627,-0.003052,0.026703,0.000000
